"sample_id"	"PANGAEA sample id"	"Station.label"	"Layer"	"polar"	"lower.size.fraction"	"upper.size.fraction"	"Event.date"	"Latitude"	"Longitude"	"Depth.nominal"	"Ocean.region"	"Temperature"	"Oxygen"	"ChlorophyllA"	"Carbon.total"	"Salinity"	"Gradient.Surface.temp(SST)"	"Fluorescence"	"CO3"	"HCO3"	"Density"	"PO4"	"PAR.PC"	"NO3"	"Si"	"Alkalinity.total"	"Ammonium.5m"	"Depth.Mixed.Layer"	"Lyapunov"	"NO2"	"Depth.Min.O2"	"NO2NO3"	"Nitracline"	"Brunt.V_is_l_"	"Iron.5m"	"Depth.Max.O2"	"Okubo.Weiss"	"Residence.time"	"Sigma-theta"	"fCDOM"
"ERR3587114"	"TARA_B100001996"	"TARA_138"	"DCM"	"non polar"	0.22	3	"2011-12-11T13:27:34"	6.3378	-102.9538	60	"[NPO] North Pacific Ocean (MRGID:1908)"	17.291965	41.52515	0.13926	0.0132	34.664045	0.22659	2.388755	0.0475	0	25.194555	1.108	NA	25.65001	8.073	0.0089	0.013172547	42	0.020154	0.464	120	12.904	48	53	4.69e-06	14	-0.002795	0	25.194555	2.388755
"ERR3587115"	"TARA_B100002003"	"TARA_138"	"MES"	"non polar"	0.22	3	"2011-12-11T20:37:22"	6.3559	-103.0598	450	"[NPO] North Pacific Ocean (MRGID:1908)"	8.149894	1.013313	0	0.0018	34.608919	0.17526	3.439414	0	0	26.951444	3.155	NA	36.753654	52.9225	0	0.013172547	38	0.020154	0.0078	482	36.219	49	49	4.69e-06	15	-0.002795	0	26.951444	3.439414
"ERR3587116"	"TARA_B100001989"	"TARA_138"	"SRF"	"non polar"	0.22	3	"2011-12-10T14:08"	6.3332	-102.9432	5	"[NPO] North Pacific Ocean (MRGID:1908)"	26.605515	196.2029	0.00588	0.0032	33.52041	0.37589	1.444322	0.0059	0	21.72899	0.1575	NA	0.803918	1.1855	0	0.013172547	45	0.020154	0.003	483	0.002	64	57	4.69e-06	13	-0.002795	0	21.72899	1.444322
"ERR3587117"	"TARA_B100001158"	"TARA_147"	"SRF"	"non polar"	0.22	3	"2012-02-18T14:22"	33.061	-66.5435	5	"[NAO] North Atlantic Ocean (MRGID:1912)"	20.150733	213.352167	0.0512	NA	36.57475	0.29136	1.712959	NA	NA	25.923533	0.001	NA	0.676878	0.797	NA	0.006327717	224	0.034771	0.218	892	0.4035	230	230	0.001076234	16	0.003342	0	25.923533	1.712959
"ERR3587118"	"TARA_B100000953"	"TARA_102"	"MES"	"non polar"	0.22	3	"2011-04-22T12:08:28"	-5.261	-85.1678	480	"[SPO] South Pacific Ocean (MRGID:1910)"	9.137438	5.148	0	0	34.692094	1.8056	3.478053	0	0	26.863531	2.853	NA	40.112735	40.579	0	0.034300595	34	0.012324	0.014	445	39.1775	43	45	4.4e-06	13	0.043188	0	26.863531	3.478053
"ERR3587119"	"TARA_B100000900"	"TARA_102"	"SRF"	"non polar"	0.22	3	"2011-04-21T20:07"	-5.2529	-85.1545	5	"[SPO] South Pacific Ocean (MRGID:1910)"	24.958885	204.421	0.16782	0.00655	34.764535	0.21865	2.076027	0.00475	0	23.176695	1.02575	NA	13.010708	5.04425	0.0104	0.034300595	24	0.012324	0.3285	419	12.8225	32	34	4.4e-06	14	0.043188	0	23.176695	2.076027
"ERR3587120"	"TARA_B100000927"	"TARA_109"	"DCM"	"non polar"	0.22	3	"2011-05-12T22:15"	2.0299	-84.5546	30	"[NPO] North Pacific Ocean (MRGID:1908)"	26.019185	199.8303	0.2808	0.013	34.475915	2.5036	2.048813	0.0234	0	22.63355	0.50475	NA	4.369042	3.225	0.0195	0.038657464	18	0.005026	0.111	420	4.638	56	57	4.99e-06	19	-0.002594	2.083333	22.63355	2.048813
"ERR3587121"	"TARA_B100000925"	"TARA_109"	"SRF"	"non polar"	0.22	3	"2011-05-12T14:00"	1.9928	-84.5766	5	"[NPO] North Pacific Ocean (MRGID:1908)"	27.497475	199.6911	0.16428	0.004	33.472445	1.716	1.900753	0.00275	0	21.408655	0.2865	NA	1.673601	1.7085	0.005	0.038657464	15	0.005026	0.0455	395	0.8935	63	59	4.99e-06	13	-0.002594	2.083333	21.408655	1.900753
"ERR3587122"	"TARA_B100000929"	"TARA_109"	"MES"	"non polar"	0.22	3	"2011-05-13T16:08:58"	2.0649	-84.5546	380	"[NPO] North Pacific Ocean (MRGID:1908)"	11.142362	2.264562	0	NA	34.791419	2.3418	3.300821	NA	NA	26.595869	NA	NA	33.049074	NA	NA	0.038657464	12	0.005026	NA	422	NA	64	69	4.99e-06	14	-0.002594	2.083333	26.595869	3.300821
"ERR3587123"	"TARA_B100000579"	"TARA_111"	"DCM"	"non polar"	0.22	3	"2011-05-31T20:28:10"	-16.9587	-100.6751	90	"[SPO] South Pacific Ocean (MRGID:1910)"	19.783275	208.54895	0.12738	0.0035	35.69581	0.51854	2.047239	0.0141	0	25.354365	0.443	NA	0.85366	0.9285	0.0047	0.013075565	67	0.018781	0.203	233	1.2215	230	225	3.01e-06	70	-0.075767	34.305556	25.354365	2.047239
"ERR3587124"	"TARA_B100000575"	"TARA_111"	"SRF"	"non polar"	0.22	3	"2011-05-31T14:25"	-16.9601	-100.6335	5	"[SPO] South Pacific Ocean (MRGID:1910)"	22.78183	209.1003	0.0408	0.0027	35.98269	0.69721	1.775215	0.0041	0	24.742485	0.5	NA	3.149999	1.0325	0	0.013075565	73	0.018781	0.0415	332	2.676	260	83	3.01e-06	30	-0.075767	34.305556	24.742485	1.775215
"ERR3587125"	"TARA_B100000700"	"TARA_122"	"DCM"	"non polar"	0.22	3	"2011-07-28T17:15:56"	-9.0063	-139.1394	115	"[SPO] South Pacific Ocean (MRGID:1910)"	24.661385	178.3692	0.11844	0.0028	36.101175	0.10853	1.880646	0.0107	0	24.2843	0.582933	NA	3.213808	1.907042	0.0093	0.030111594	101	0.028977	0.092792	186	2.67775	131	109	2.32e-06	15	0.007751	15.833333	24.2843	1.880646
"ERR3587126"	"TARA_B100000678"	"TARA_122"	"MES"	"non polar"	0.22	3	"2011-07-27T19:28:43"	-8.9729	-139.2393	600	"[SPO] South Pacific Ocean (MRGID:1910)"	7.133995	40.6107	-0.00144	NA	34.5789	0.1873	3.112808	NA	NA	27.07634	NA	NA	41.697487	NA	NA	0.030111594	98	0.028977	NA	255	NA	209	107	2.32e-06	13	0.007751	15.833333	27.07634	3.112808
"ERR3587127"	"TARA_B100000686"	"TARA_123"	"MIX"	"non polar"	0.22	3	"2011-08-01T17:52:45"	-8.9109	-140.2845	150	"[SPO] South Pacific Ocean (MRGID:1910)"	21.97372	158.18405	-0.00582	0.000925	35.877315	NA	1.955839	0.006175	0.002	24.895825	0.6607	NA	5.004597	1.18375	0.0025	0.02508309	107	0.053774	1.46875	237	5.44175	236	234	2.28e-06	13	-0.011503	1.083333	24.895825	1.955839
"ERR3587128"	"TARA_B100000676"	"TARA_124"	"MIX"	"non polar"	0.22	3	"2011-08-05T17:31:19"	-9.0714	-140.5973	120	"[SPO] South Pacific Ocean (MRGID:1910)"	24.81397	172.42475	0.02364	0.00185	35.907345	0.10891	1.908626	0.00975	0	24.092785	0.4885	NA	4.148328	1.469	0.00585	0.023188621	101	0.043603	0.3535	193	1.19925	145	111	2.46e-06	13	9.6e-05	2.777778	24.092785	1.908626
"ERR3587129"	"TARA_B100001123"	"TARA_125"	"MIX"	"non polar"	0.22	3	"2011-08-09T17:05:33"	-8.8999	-142.5461	140	"[SPO] South Pacific Ocean (MRGID:1910)"	23.681605	160.81445	-0.00327	4e-04	36.28145	0.11492	1.897657	0.0025	0	24.715135	0.566	NA	3.583718	1.24575	0	0.01748565	102	0.014455	0.05475	242	3.47525	211	111	2.36e-06	29	-0.004254	0	24.715135	1.897657
"ERR3587130"	"TARA_B100001964"	"TARA_137"	"DCM"	"non polar"	0.22	3	"2011-12-02T20:42"	14.2075	-116.6468	40	"[NPO] North Pacific Ocean (MRGID:1908)"	20.58574	123.201	0.33414	0.0228	34.366025	0.53045	2.394612	0.0606	0	24.14088	0.884	NA	7.312792	4.661	0.0238	0.016200179	28	0.032361	0.3055	206	6.0475	39	39	4.21e-06	16	0.075315	0	24.14088	2.394612
"ERR3587131"	"TARA_B100000248"	"TARA_047"	"SRF"	"non polar"	0.22	1.6	"2010-04-16T04:42"	-2.0465	72.1568	5	"[IO] Indian Ocean (MRGID:1904)"	30.15995	187.3595	0	7e-04	34.91195	0.27021	0.855	7e-04	0	21.60515	0.093	NA	0	2.284	0	0.016535839	23	0.045411	0.001	737	0.018	112	57	0.001313573	30	0.013305	0	21.60515	0.855
"ERR3587132"	"TARA_B100000212"	"TARA_052"	"SRF"	"non polar"	0.22	1.6	"2010-05-17T04:10"	-16.957	53.9801	5	"[IO] Indian Ocean (MRGID:1904)"	27.956483	191.628083	0.0332	0.0022	34.54545	0.20159	0.977083	0.0061	0	22.067625	0.119	NA	0.532471	2.666	0	0.01050256	53	0.074677	0	958	0	NA	79	0.001048266	470	0.274476	2.138889	22.067625	0.977083
"ERR3587133"	"TARA_B100000214"	"TARA_052"	"DCM"	"non polar"	0.22	1.6	"2010-05-17T11:42"	-16.9534	53.9601	75	"[IO] Indian Ocean (MRGID:1904)"	25.212642	194.81775	0.149	0.0091	34.896833	0.18796	1.180417	0.0296	0	23.203642	0.159	NA	0.532471	2.824	0.0057	0.01050256	63	0.074677	0.032	170	0.4675	166	73	0.001048266	448	0.274476	2.138889	23.203642	1.180417
"ERR3587134"	"TARA_B100000513"	"TARA_076"	"SRF"	"non polar"	0.22	3	"2010-10-16T09:55"	-20.9354	-35.1803	5	"[SAO] South Atlantic Ocean (MRGID:1914)"	23.374825	206.23185	-0.00072	0.0019	37.076575	0.59536	1.636802	0.0016	0	25.40018	0.055883	NA	0.185971	0.814172	0	0.011959192	50	0.027592	0.001404	582	0	849	152	0.000776878	77	0.084131	0	25.40018	1.636802
"ERR3587135"	"TARA_B100000524"	"TARA_078"	"SRF"	"non polar"	0.22	3	"2010-11-04T10:24"	-30.1367	-43.2899	5	"[SAO] South Atlantic Ocean (MRGID:1914)"	20.07775	221.13845	0.00144	0.0054	36.32553	3.7648	1.674628	0.0027	0	25.754115	0	NA	0.025333	0.749	0	0.017718557	89	0.14819	0	600	0.026	580	197	0.000862562	887	0.053558	5.777778	25.754115	1.674628
"ERR3587136"	"TARA_B100000768"	"TARA_082"	"SRF"	"non polar"	0.22	3	"2010-12-06T10:33"	-47.1863	-58.2902	5	"[SAO] South Atlantic Ocean (MRGID:1914)"	7.579417	303.147667	0.2258	NA	34.05025	1.211	2.128396	NA	NA	26.589567	1.302	NA	18.434187	1.945	NA	0.125833504	55	0.202122	0.146	952	18.005	59	64	0.000290781	74	0.056052	0	26.589567	2.128396
"ERR3587137"	"TARA_B100000767"	"TARA_082"	"DCM"	"non polar"	0.22	3	"2010-12-06T18:58"	-47.2007	-57.9446	40	"[SAO] South Atlantic Ocean (MRGID:1914)"	7.154875	306.1555	0.57815	NA	34.05055	0.82188	2.133364	NA	NA	26.649733	1.356	NA	18.047311	2.661	NA	0.125833504	18	0.202122	0.1185	129	18.525	66	62	0.000290781	24	0.056052	0	26.649733	2.133364
"ERR3587138"	"TARA_B100000780"	"TARA_084"	"SRF"	"polar"	0.22	3	"2011-01-03T11:05"	-60.2287	-60.6476	5	"[SO] Southern Ocean (MRGID:1907)"	1.9034	338.526	0.0219	NA	33.7198	3.3784	2.105012	NA	NA	26.9578	1.723	NA	24.903191	16.55	NA	0.096893812	254	0.082884	0.266	553	25.3	75	69	8.83e-06	60	-0.48219	1.972222	26.9578	2.105012
"ERR3587139"	"TARA_B100000787"	"TARA_085"	"SRF"	"polar"	0.22	3	"2011-01-06T10:38"	-62.0385	-49.529	5	"[SO] Southern Ocean (MRGID:1907)"	0.73159	344.81235	0.12516	0.02675	34.327465	0.27081	2.220386	0.00375	0.0155	27.52175	2.1055	NA	29.73383	80.55	0	0.007686064	499	0.02576	0.1055	596	28.64	28	70	0.000451463	60	-0.012327	19.777778	27.52175	2.220386
"ERR3587140"	"TARA_B100000795"	"TARA_085"	"DCM"	"polar"	0.22	3	"2011-01-06T19:34:21"	-62.2231	-49.2139	90	"[SO] Southern Ocean (MRGID:1907)"	-0.792395	326.6803	0.22416	NA	34.36258	0.46757	2.471241	NA	NA	27.6286	2.309	NA	32.911358	81.82	NA	0.007686064	42	0.02576	0.06	191	31	177	55	0.000451463	17	-0.012327	19.777778	27.6286	2.471241
"ERR3587141"	"TARA_B100000959"	"TARA_100"	"DCM"	"non polar"	0.22	3	"2011-04-16T13:03:08"	-12.9794	-96.0232	177	"[SPO] South Pacific Ocean (MRGID:1910)"	12.806365	3.4942	6e-04	0	34.82775	0.51034	3.186315	1e-04	0	26.3033	2.68675	NA	20.254424	20.9015	0	0.018424854	45	0.045278	0.131	226	23.251	148	56	3.28e-06	53	0.013354	6	26.3033	3.186315
"ERR3587142"	"TARA_B100000965"	"TARA_100"	"DCM"	"non polar"	0.22	3	"2011-04-15T19:38"	-12.9723	-96.0122	50	"[SPO] South Pacific Ocean (MRGID:1910)"	22.596675	216.67805	0.18456	0.0096	35.64227	0.49273	2.070398	0.0099	0	24.5284	0.7785	NA	4.229206	1.8815	0.0061	0.018424854	44	0.045278	0.1635	301	5.6545	149	53	3.28e-06	52	0.013354	6	24.5284	2.070398
"ERR3587143"	"TARA_B100000963"	"TARA_100"	"SRF"	"non polar"	0.22	3	"2011-04-15T12:45"	-13.0023	-95.9759	5	"[SPO] South Pacific Ocean (MRGID:1910)"	25.349495	201.0109	0.10404	0.0066	35.82876	0.49273	1.77889	0.0049	0	23.86109	0.67725	NA	5.005302	1.15025	0.0017	0.018424854	44	0.045278	0.137	301	6.1625	149	53	3.28e-06	52	0.013354	6	23.86109	1.77889
"ERR3587144"	"TARA_B100000902"	"TARA_102"	"DCM"	"non polar"	0.22	3	"2011-04-22T21:13"	-5.2669	-85.2732	40	"[SPO] South Pacific Ocean (MRGID:1910)"	19.781235	104.9968	0.33192	0.018	34.884385	1.8132	2.896974	0.038	0	24.729155	1.8615	NA	18.72477	10.5045	0.0334	0.034300595	34	0.012324	1.202	238	24.3645	48	44	4.4e-06	14	0.043188	0	24.729155	2.896974
"ERR3587145"	"TARA_B100000315"	"TARA_037"	"MES"	"non polar"	0.22	1.6	"2010-03-12T17:08:47"	20.8457	63.5851	600	"[IO] Indian Ocean (MRGID:1904)"	11.984006	2.81625	0.00135	0	35.672725	0.024714	2.6925	0	0	27.130513	NA	NA	31.290804	NA	0	0.028889008	NA	0.06187	NA	587	NA	95	30	0.001387737	13	-0.087532	0	27.130513	2.6925
"ERR3587146"	"TARA_B100000071"	"TARA_038"	"MES"	"non polar"	0.22	1.6	"2010-03-16T06:13:30"	19.0351	64.5638	340	"[IO] Indian Ocean (MRGID:1904)"	14.901445	2.9502	0.00036	0	36.014205	0.29724	2.791	0	0.0061	26.787485	2.639	NA	22.18992	38.94	0	0.030032598	18	0.069484	0.691	475	23.43	109	114	0.001387726	14	0.005785	0	26.787485	2.791
"ERR3587147"	"TARA_B100000089"	"TARA_039"	"SRF"	"non polar"	0.22	1.6	"2010-03-18T04:27"	18.5918	66.622	5	"[IO] Indian Ocean (MRGID:1904)"	27.089113	193.065313	0.0258	0.0035	36.310588	0.38108	1.188594	0.0034	0	23.677262	0.2335	NA	0	1.515	0	0.0255102	28	NA	0.0065	689	0.0425	109	34	0.00138772	14	0.403157	2.25	23.677262	1.188594
"ERR3587148"	"TARA_B100000101"	"TARA_039"	"MES"	"non polar"	0.22	1.6	"2010-03-20T08:15:28"	18.7341	66.3896	270	"[IO] Indian Ocean (MRGID:1904)"	15.553795	3.12405	0.00144	0	35.907681	0.1421	2.75675	0	0.0058	26.565675	2.64	NA	18.560166	38.62	0	0.0255102	14	NA	2.074	486	21.22	125	3	0.00138772	16	0.403157	2.25	26.565675	2.75675
"ERR3587149"	"TARA_B100000282"	"TARA_041"	"SRF"	"non polar"	0.22	1.6	"2010-03-30T02:47"	14.6059	69.9776	5	"[IO] Indian Ocean (MRGID:1904)"	29.151544	187.306625	0	0.001	36.0499	0.25556	0.965625	0.00075	0	22.799819	0.1565	NA	0	1.3865	0	0.020277846	25	0.026178	0.007	450	0.057	74	79	0.001387699	24	-0.412443	19.027778	22.799819	0.965625
"ERR3587150"	"TARA_B100000287"	"TARA_041"	"DCM"	"non polar"	0.22	1.6	"2010-03-30T10:56"	14.5536	70.0128	60	"[IO] Indian Ocean (MRGID:1904)"	27.374181	164.440063	0.098025	0.01485	36.503531	0.22011	1.377813	0.0249	0.00665	23.734719	0.846	NA	0	3.5765	0.002	0.020277846	25	0.026178	0.2375	404	7.847	67	29	0.001387699	33	-0.412443	19.027778	23.734719	1.377813
"ERR3587151"	"TARA_B100000700"	"TARA_122"	"DCM"	"non polar"	0.22	3	"2011-07-28T17:15:56"	-9.0063	-139.1394	115	"[SPO] South Pacific Ocean (MRGID:1910)"	24.661385	178.3692	0.11844	0.0028	36.101175	0.10853	1.880646	0.0107	0	24.2843	0.582933	NA	3.213808	1.907042	0.0093	0.030111594	101	0.028977	0.092792	186	2.67775	131	109	2.32e-06	15	0.007751	15.833333	24.2843	1.880646
"ERR3587154"	"TARA_B100001135"	"TARA_145"	"SRF"	"non polar"	0.22	3	"2012-02-02T11:52"	39.2305	-70.0377	5	"[NAO] North Atlantic Ocean (MRGID:1912)"	13.993715	236.78925	0.13044	0.10205	35.12152	2.1983	2.515102	0.0266	0	26.282555	0.33275	NA	5.013141	2.41425	0.0164	0.013130805	128	0.144593	0.093	212	3.7925	105	100	0.000894599	1026	-0.044917	3.472222	26.282555	2.515102
"ERR3587155"	"TARA_B100000071"	"TARA_038"	"MES"	"non polar"	0.22	1.6	"2010-03-16T06:13:30"	19.0351	64.5638	340	"[IO] Indian Ocean (MRGID:1904)"	14.901445	2.9502	0.00036	0	36.014205	0.29724	2.791	0	0.0061	26.787485	2.639	NA	22.18992	38.94	0	0.030032598	18	0.069484	0.691	475	23.43	109	114	0.001387726	14	0.005785	0	26.787485	2.791
"ERR3587156"	"TARA_B100000287"	"TARA_041"	"DCM"	"non polar"	0.22	1.6	"2010-03-30T10:56"	14.5536	70.0128	60	"[IO] Indian Ocean (MRGID:1904)"	27.374181	164.440063	0.098025	0.01485	36.503531	0.22011	1.377813	0.0249	0.00665	23.734719	0.846	NA	0	3.5765	0.002	0.020277846	25	0.026178	0.2375	404	7.847	67	29	0.001387699	33	-0.412443	19.027778	23.734719	1.377813
"ERR3587157"	"TARA_B100000212"	"TARA_052"	"SRF"	"non polar"	0.22	1.6	"2010-05-17T04:10"	-16.957	53.9801	5	"[IO] Indian Ocean (MRGID:1904)"	27.956483	191.628083	0.0332	0.0022	34.54545	0.20159	0.977083	0.0061	0	22.067625	0.119	NA	0.532471	2.666	0	0.01050256	53	0.074677	0	958	0	NA	79	0.001048266	470	0.274476	2.138889	22.067625	0.977083
"ERR3587158"	"TARA_B100000214"	"TARA_052"	"DCM"	"non polar"	0.22	1.6	"2010-05-17T11:42"	-16.9534	53.9601	75	"[IO] Indian Ocean (MRGID:1904)"	25.212642	194.81775	0.149	0.0091	34.896833	0.18796	1.180417	0.0296	0	23.203642	0.159	NA	0.532471	2.824	0.0057	0.01050256	63	0.074677	0.032	170	0.4675	166	73	0.001048266	448	0.274476	2.138889	23.203642	1.180417
"ERR3587159"	"TARA_B100000953"	"TARA_102"	"MES"	"non polar"	0.22	3	"2011-04-22T12:08:28"	-5.261	-85.1678	480	"[SPO] South Pacific Ocean (MRGID:1910)"	9.137438	5.148	0	0	34.692094	1.8056	3.478053	0	0	26.863531	2.853	NA	40.112735	40.579	0	0.034300595	34	0.012324	0.014	445	39.1775	43	45	4.4e-06	13	0.043188	0	26.863531	3.478053
"ERR3587160"	"TARA_B100000678"	"TARA_122"	"MES"	"non polar"	0.22	3	"2011-07-27T19:28:43"	-8.9729	-139.2393	600	"[SPO] South Pacific Ocean (MRGID:1910)"	7.133995	40.6107	-0.00144	NA	34.5789	0.1873	3.112808	NA	NA	27.07634	NA	NA	41.697487	NA	NA	0.030111594	98	0.028977	NA	255	NA	209	107	2.32e-06	13	0.007751	15.833333	27.07634	3.112808
"ERR3587161"	"TARA_B100000686"	"TARA_123"	"MIX"	"non polar"	0.22	3	"2011-08-01T17:52:45"	-8.9109	-140.2845	150	"[SPO] South Pacific Ocean (MRGID:1910)"	21.97372	158.18405	-0.00582	0.000925	35.877315	NA	1.955839	0.006175	0.002	24.895825	0.6607	NA	5.004597	1.18375	0.0025	0.02508309	107	0.053774	1.46875	237	5.44175	236	234	2.28e-06	13	-0.011503	1.083333	24.895825	1.955839
"ERR3587162"	"TARA_B100001765"	"TARA_149"	"MES"	"non polar"	0.22	3	"2012-03-01T18:50:26"	34.0771	-49.8233	740	"[NAO] North Atlantic Ocean (MRGID:1912)"	10.496305	152.7195	9e-04	NA	35.369805	0.59747	2.634028	NA	NA	27.170345	1.34475	NA	20.172519	NA	NA	0.011274377	150	0.079308	0.00725	750	20.924	878	150	0.000983844	14	0.275561	0	27.170345	2.634028
"ERR3587163"	"TARA_B100000315"	"TARA_037"	"MES"	"non polar"	0.22	1.6	"2010-03-12T17:08:47"	20.8457	63.5851	600	"[IO] Indian Ocean (MRGID:1904)"	11.984006	2.81625	0.00135	0	35.672725	0.024714	2.6925	0	0	27.130513	NA	NA	31.290804	NA	0	0.028889008	NA	0.06187	NA	587	NA	95	30	0.001387737	13	-0.087532	0	27.130513	2.6925
"ERR3587164"	"TARA_B100001964"	"TARA_137"	"DCM"	"non polar"	0.22	3	"2011-12-02T20:42"	14.2075	-116.6468	40	"[NPO] North Pacific Ocean (MRGID:1908)"	20.58574	123.201	0.33414	0.0228	34.366025	0.53045	2.394612	0.0606	0	24.14088	0.884	NA	7.312792	4.661	0.0238	0.016200179	28	0.032361	0.3055	206	6.0475	39	39	4.21e-06	16	0.075315	0	24.14088	2.394612
"ERR3587165"	"TARA_B100000248"	"TARA_047"	"SRF"	"non polar"	0.22	1.6	"2010-04-16T04:42"	-2.0465	72.1568	5	"[IO] Indian Ocean (MRGID:1904)"	30.15995	187.3595	0	7e-04	34.91195	0.27021	0.855	7e-04	0	21.60515	0.093	NA	0	2.284	0	0.016535839	23	0.045411	0.001	737	0.018	112	57	0.001313573	30	0.013305	0	21.60515	0.855
"ERR3587166"	"TARA_B100002003"	"TARA_138"	"MES"	"non polar"	0.22	3	"2011-12-11T20:37:22"	6.3559	-103.0598	450	"[NPO] North Pacific Ocean (MRGID:1908)"	8.149894	1.013313	0	0.0018	34.608919	0.17526	3.439414	0	0	26.951444	3.155	NA	36.753654	52.9225	0	0.013172547	38	0.020154	0.0078	482	36.219	49	49	4.69e-06	15	-0.002795	0	26.951444	3.439414
"ERR3587167"	"TARA_B100001741"	"TARA_148"	"SRF"	"non polar"	0.22	3	"2012-02-24T11:40"	31.6948	-64.2489	5	"[NAO] North Atlantic Ocean (MRGID:1912)"	20.481195	213.6889	0.04404	NA	36.596745	0.12223	1.674064	NA	NA	25.85157	0.0015	NA	1.009924	0.728	NA	0.006396831	134	0.085786	0.093	824	0.1505	NA	186	0.001041271	16	0.069438	1.333333	25.85157	1.674064
"ERR3587168"	"TARA_B100000089"	"TARA_039"	"SRF"	"non polar"	0.22	1.6	"2010-03-18T04:27"	18.5918	66.622	5	"[IO] Indian Ocean (MRGID:1904)"	27.089113	193.065313	0.0258	0.0035	36.310588	0.38108	1.188594	0.0034	0	23.677262	0.2335	NA	0	1.515	0	0.0255102	28	NA	0.0065	689	0.0425	109	34	0.00138772	14	0.403157	2.25	23.677262	1.188594
"ERR3587169"	"TARA_B100000282"	"TARA_041"	"SRF"	"non polar"	0.22	1.6	"2010-03-30T02:47"	14.6059	69.9776	5	"[IO] Indian Ocean (MRGID:1904)"	29.151544	187.306625	0	0.001	36.0499	0.25556	0.965625	0.00075	0	22.799819	0.1565	NA	0	1.3865	0	0.020277846	25	0.026178	0.007	450	0.057	74	79	0.001387699	24	-0.412443	19.027778	22.799819	0.965625
"ERR3587170"	"TARA_B100000925"	"TARA_109"	"SRF"	"non polar"	0.22	3	"2011-05-12T14:00"	1.9928	-84.5766	5	"[NPO] North Pacific Ocean (MRGID:1908)"	27.497475	199.6911	0.16428	0.004	33.472445	1.716	1.900753	0.00275	0	21.408655	0.2865	NA	1.673601	1.7085	0.005	0.038657464	15	0.005026	0.0455	395	0.8935	63	59	4.99e-06	13	-0.002594	2.083333	21.408655	1.900753
"ERR3587171"	"TARA_B100000575"	"TARA_111"	"SRF"	"non polar"	0.22	3	"2011-05-31T14:25"	-16.9601	-100.6335	5	"[SPO] South Pacific Ocean (MRGID:1910)"	22.78183	209.1003	0.0408	0.0027	35.98269	0.69721	1.775215	0.0041	0	24.742485	0.5	NA	3.149999	1.0325	0	0.013075565	73	0.018781	0.0415	332	2.676	260	83	3.01e-06	30	-0.075767	34.305556	24.742485	1.775215
"ERR3587172"	"TARA_B100000700"	"TARA_122"	"DCM"	"non polar"	0.22	3	"2011-07-28T17:15:56"	-9.0063	-139.1394	115	"[SPO] South Pacific Ocean (MRGID:1910)"	24.661385	178.3692	0.11844	0.0028	36.101175	0.10853	1.880646	0.0107	0	24.2843	0.582933	NA	3.213808	1.907042	0.0093	0.030111594	101	0.028977	0.092792	186	2.67775	131	109	2.32e-06	15	0.007751	15.833333	24.2843	1.880646
"ERR3587173"	"TARA_B100000676"	"TARA_124"	"MIX"	"non polar"	0.22	3	"2011-08-05T17:31:19"	-9.0714	-140.5973	120	"[SPO] South Pacific Ocean (MRGID:1910)"	24.81397	172.42475	0.02364	0.00185	35.907345	0.10891	1.908626	0.00975	0	24.092785	0.4885	NA	4.148328	1.469	0.00585	0.023188621	101	0.043603	0.3535	193	1.19925	145	111	2.46e-06	13	9.6e-05	2.777778	24.092785	1.908626
"ERR3587174"	"TARA_B100001123"	"TARA_125"	"MIX"	"non polar"	0.22	3	"2011-08-09T17:05:33"	-8.8999	-142.5461	140	"[SPO] South Pacific Ocean (MRGID:1910)"	23.681605	160.81445	-0.00327	4e-04	36.28145	0.11492	1.897657	0.0025	0	24.715135	0.566	NA	3.583718	1.24575	0	0.01748565	102	0.014455	0.05475	242	3.47525	211	111	2.36e-06	29	-0.004254	0	24.715135	1.897657
"ERR3587175"	"TARA_B100001287"	"TARA_137"	"SRF"	"non polar"	0.22	3	"2011-12-02T14:12"	14.2035	-116.6261	5	"[NPO] North Pacific Ocean (MRGID:1908)"	26.478605	195.77195	0.1386	0.0081	33.84798	0.40468	1.755806	0.0118	0	22.01524	0.456	NA	3.740793	2.538	0.0044	0.016200179	29	0.032361	0.067	630	2.444	44	39	4.21e-06	13	0.075315	0	22.01524	1.755806
"ERR3587176"	"TARA_B100001971"	"TARA_137"	"MES"	"non polar"	0.22	3	"2011-12-03T14:31:20"	14.2025	-116.6433	375	"[NPO] North Pacific Ocean (MRGID:1908)"	8.887131	0.832313	0	0	34.5882	0.3853	3.389521	0	0	26.820475	2.9545	NA	35.049476	46.6245	0	0.016200179	28	0.032361	0.0093	351	34.551	40	40	4.21e-06	14	0.075315	0	26.820475	3.389521
"ERR3587177"	"TARA_B100001996"	"TARA_138"	"DCM"	"non polar"	0.22	3	"2011-12-11T13:27:34"	6.3378	-102.9538	60	"[NPO] North Pacific Ocean (MRGID:1908)"	17.291965	41.52515	0.13926	0.0132	34.664045	0.22659	2.388755	0.0475	0	25.194555	1.108	NA	25.65001	8.073	0.0089	0.013172547	42	0.020154	0.464	120	12.904	48	53	4.69e-06	14	-0.002795	0	25.194555	2.388755
