sample_id,sumTPM
ERR1001626,12.088
ERR1001627,14.347
ERR1328122,11.765
ERR1328123,4.107
ERR1328124,4.145
ERR1328125,10.14
ERR1336911,7.073
ERR1336912,5.245
ERR3562601,0
ERR3586677,0
ERR3586678,6.866
ERR3586679,11.974
ERR3586680,12.425
ERR3586681,0
ERR3586682,11.278
ERR3586683,10.731
ERR3586684,14.104
ERR3586685,27.535
ERR3586686,9.186
ERR3586687,24.288
ERR3586688,12.05
ERR3586689,16.231
ERR3586690,0.298
ERR3586691,19.072
ERR3586692,0
ERR3586693,22.103
ERR3586694,28.607
ERR3586695,4.625
ERR3586696,8.157
ERR3586697,7.114
ERR3586698,6.854
ERR3586699,7.406
ERR3586700,10.73
ERR3586701,3.531
ERR3586702,14.258
ERR3586703,17.779
ERR3586704,9.468
ERR3586705,20.97
ERR3586706,17.125
ERR3586707,11.3
ERR3586708,6.812
ERR3586709,7.282
ERR3586710,6.182
ERR3586711,11.424
ERR3586712,0
ERR3586713,0
ERR3586714,7.681
ERR3586715,11.967
ERR3586716,10.082
ERR3586717,0
ERR3586718,6.917
ERR3586719,20.587
ERR3586720,12.431
ERR3586721,21.448
ERR3586722,7.249
ERR3586723,12.365
ERR3586724,15.257
ERR3586725,10.582
ERR3586726,12.593
ERR3586727,7.356
ERR3586728,26.036
ERR3586729,11.659
ERR3586730,15.707
ERR3586731,5.933
ERR3586732,7.513
ERR3586733,0
ERR3586734,19.607
ERR3586735,0
ERR3586736,11.737
ERR3586737,26.267
ERR3586738,0
ERR3586739,4.626
ERR3586740,11.037
ERR3586741,0
ERR3586742,16.837
ERR3586743,17.686
ERR3586744,13.899
ERR3586745,19.091
ERR3586746,26.482
ERR3586747,0
ERR3586748,6.022
ERR3586749,4.093
ERR3586750,6.382
ERR3586751,17.122
ERR3586752,11.634
ERR3586753,13.184
ERR3586754,12.854
ERR3586755,11.979
ERR3586756,11.098
ERR3586757,11.685
ERR3586758,14.085
ERR3586759,11.218
ERR3586760,7.828
ERR3586761,5.126
ERR3586762,9.749
ERR3586763,6.202
ERR3586764,19.466
ERR3586765,18.97
ERR3586766,19.419
ERR3586767,19.92
ERR3586768,18.751
ERR3586769,17.514
ERR3586770,18.779
ERR3586771,20.157
ERR3586772,0
ERR3586773,0
ERR3586774,0
ERR3586775,0
ERR3586776,14.787
ERR3586777,17.098
ERR3586778,15.892
ERR3586779,15.346
ERR3586780,11.741
ERR3586781,15.615
ERR3586782,11.791
ERR3586783,16.362
ERR3586784,11.159
ERR3586785,0
ERR3586786,0
ERR3586787,0.387
ERR3586788,0.194
ERR3586789,7.863
ERR3586790,11.209
ERR3586791,8.337
ERR3586792,7.702
ERR3586793,14.843
ERR3586794,16.408
ERR3586795,12.045
ERR3586796,14.044
ERR3586797,13.076
ERR3586798,9.778
ERR3586799,9.663
ERR3586800,11.751
ERR3586801,13.179
ERR3586802,15.791
ERR3586803,15.661
ERR3586804,13.089
ERR3586805,16.771
ERR3586806,17.546
ERR3586807,15.947
ERR3586808,16.152
ERR3586809,16.296
ERR3586810,16.154
ERR3586811,15.313
ERR3586812,14.047
ERR3586813,9.579
ERR3586814,11.598
ERR3586815,10.666
ERR3586816,11.053
ERR3586817,10.011
ERR3586818,12.789
ERR3586819,8.906
ERR3586820,10.755
ERR3586821,9.739
ERR3586822,6.446
ERR3586823,6.454
ERR3586824,11.185
ERR3586825,9.097
ERR3586826,4.348
ERR3586827,6.397
ERR3586828,5.762
ERR3586829,2.015
ERR3586830,7.888
ERR3586831,3.904
ERR3586832,4.087
ERR3586834,10.902
ERR3586835,10.937
ERR3586836,8.111
ERR3586837,10.626
ERR3586838,12.857
ERR3586839,9.307
ERR3586840,4.637
ERR3586841,8.031
ERR3586842,3.666
ERR3586843,4.843
ERR3586844,5.349
ERR3586845,11.401
ERR3586846,10.697
ERR3586847,13.388
ERR3586848,5.567
ERR3586849,6.93
ERR3586850,10.914
ERR3586851,11.162
ERR3586852,8.593
ERR3586853,9.897
ERR3586854,11.424
ERR3586855,12.795
ERR3586856,4.706
ERR3586857,10.32
ERR3586858,22.711
ERR3586859,26.692
ERR3586860,19.272
ERR3586861,19.207
ERR3586862,19.354
ERR3586863,19.378
ERR3586864,20.286
ERR3586865,18.102
ERR3586866,7.925
ERR3586867,8.32
ERR3586868,8.907
ERR3586869,6.16
ERR3586870,12.128
ERR3586871,10.94
ERR3586872,5.731
ERR3586873,4.787
ERR3586890,11.225
ERR3586891,14.217
ERR3586892,14.572
ERR3586893,19.413
ERR3586894,10.766
ERR3586895,13.396
ERR3586896,11.924
ERR3586897,1.85
ERR3586898,10.32
ERR3586899,6.061
ERR3586900,20.032
ERR3586901,15.379
ERR3586902,17.72
ERR3586903,2.344
ERR3586904,2.358
ERR3586905,0
ERR3586906,1.239
ERR3586907,1.23
ERR3586908,2.472
ERR3586909,4.873
ERR3586910,2.539
ERR3586911,13.182
ERR3586912,13.018
ERR3586913,9.824
ERR3586914,10.118
ERR3586915,8.877
ERR3586916,13.144
ERR3586917,13.266
ERR3586918,13.737
ERR3586919,10.937
ERR3586920,7.31
ERR3586921,12.012
ERR3586922,11.129
ERR3586923,12.277
ERR3586924,8.05
ERR3586925,9.538
ERR3586926,9.218
ERR3586927,17.912
ERR3586928,25.454
ERR3586929,20.744
ERR3586930,33.078
ERR3586931,28.523
ERR3586932,27.209
ERR3586933,21.353
ERR3586934,24.04
ERR3586935,6.126
ERR3586936,8.645
ERR3586937,8.044
ERR3586938,12.434
ERR3586939,5.972
ERR3586940,15.881
ERR3586941,12.837
ERR3586942,0.78
ERR3586943,14.118
ERR3586944,10.457
ERR3586945,13.727
ERR3586946,9.129
ERR3586947,7.157
ERR3586948,12.715
ERR3586949,9.442
ERR3586950,29.037
ERR3586951,20.297
ERR3586952,96.336
ERR3586953,14.859
ERR3586954,12.862
ERR3586955,14.278
ERR3586956,12.29
ERR3586957,7.01
ERR3586958,11.216
ERR3586959,10.612
ERR3586960,6.571
ERR3586961,13.968
ERR3586962,19.112
ERR3586963,23.881
ERR3586967,24.339
ERR3586968,12.698
ERR3586969,26.049
ERR3586970,9.017
ERR3586971,5.114
ERR3586972,12.339
ERR3586973,12.155
ERR3586974,12.147
ERR3586975,7.821
ERR3586976,11.751
ERR3586977,117.308
ERR3586978,17.158
ERR3586979,13.898
ERR3586980,20.326
ERR3586981,4.427
ERR3586982,8.841
ERR3586983,13.303
ERR3586984,14.367
ERR3586985,23.948
ERR3586986,17.987
ERR3586987,0
ERR3586988,16.382
ERR3586989,11.487
ERR3586990,14.673
ERR3586991,12.455
ERR3586992,5.451
ERR3586993,8.705
ERR3586994,2.745
ERR3586995,8.83
ERR3586996,19.435
ERR3586997,8.121
ERR3586998,14.223
ERR3586999,30.028
ERR3587000,76.859
ERR3587001,11.899
ERR3587002,10.677
ERR3587003,7.419
ERR3587004,11.391
ERR3587005,12.125
ERR3587006,3.827
ERR3587007,8.953
ERR3587008,14.208
ERR3587009,9.283
ERR3587010,16.08
ERR3587011,9.112
ERR3587012,8.952
ERR3587013,21.056
ERR3587014,15.146
ERR3587015,6.68
ERR3587016,8.353
ERR3587017,3.842
ERR3587018,1.84
ERR3587019,6.161
ERR3587020,8.321
ERR3587021,11.725
ERR3587022,7.294
ERR3587023,22.718
ERR3587024,18.565
ERR3587025,4.786
ERR3587026,17.508
ERR3587027,15.769
ERR3587028,2.118
ERR3587029,0
ERR3587030,12.397
ERR3587031,10.951
ERR3587035,10.055
ERR3587037,6.881
ERR3587038,3.001
ERR3587039,8.185
ERR3587040,12.073
ERR3587041,10.782
ERR3587042,8.16
ERR3587043,16.31
ERR3587044,10.133
ERR3587045,0
ERR3587046,12.424
ERR3587047,9.039
ERR3587048,10.336
ERR3587049,7.399
ERR3587050,5.245
ERR3587051,7.472
ERR3587052,9.179
ERR3587053,12.546
ERR3587054,29.607
ERR3587055,20.8
ERR3587056,97.013
ERR3587057,16.154
ERR3587058,16.235
ERR3587059,10.118
ERR3587060,12.141
ERR3587061,6.802
ERR3587062,13.415
ERR3587063,15.13
ERR3587064,11.27
ERR3587065,16.11
ERR3587066,7.462
ERR3587067,9.999
ERR3587068,11.391
ERR3587069,0
ERR3587070,8.976
ERR3587071,21.369
ERR3587072,13.562
ERR3587073,13.88
ERR3587074,11.286
ERR3587075,10.753
ERR3587076,6.409
ERR3587077,6.917
ERR3587078,23.183
ERR3587079,20.078
ERR3587080,0
ERR3587081,17.528
ERR3587082,11.96
ERR3587083,12.095
ERR3587084,15.758
ERR3587085,14.389
ERR3587086,20.77
ERR3587087,21.952
ERR3587090,25.513
ERR3587091,11.376
ERR3587092,30.878
ERR3587093,9.18
ERR3587094,6.741
ERR3587095,10.084
ERR3587096,11.636
ERR3587097,8.865
ERR3587098,10.143
ERR3587099,123.119
ERR3587100,15.035
ERR3587101,11.303
ERR3587102,17.209
