sample_id,sumTPM
ERR1001626,1.22
ERR1001627,1.845
ERR1328122,1.553
ERR1328123,0.196
ERR1328124,0.599
ERR1328125,1.99
ERR1336911,1.464
ERR1336912,0.808
ERR3562601,0
ERR3586677,0
ERR3586678,2.647
ERR3586679,2.774
ERR3586680,3.301
ERR3586681,0
ERR3586682,2.091
ERR3586683,4.081
ERR3586684,5.219
ERR3586685,2.679
ERR3586686,2.386
ERR3586687,8.751
ERR3586688,5.553
ERR3586689,1.763
ERR3586690,0
ERR3586691,0.567
ERR3586692,0
ERR3586693,0.932
ERR3586694,4.004
ERR3586695,1.635
ERR3586696,2.371
ERR3586697,1.142
ERR3586698,1.906
ERR3586699,1.957
ERR3586700,0.909
ERR3586701,0.36
ERR3586702,3.433
ERR3586703,5.889
ERR3586704,2.625
ERR3586705,1.333
ERR3586706,3.196
ERR3586707,3.172
ERR3586708,1.575
ERR3586709,2.613
ERR3586710,0.194
ERR3586711,1.984
ERR3586712,0
ERR3586713,0
ERR3586714,3.457
ERR3586715,0.559
ERR3586716,2.337
ERR3586717,0
ERR3586718,2.338
ERR3586719,5.917
ERR3586720,2.081
ERR3586721,4.918
ERR3586722,3.635
ERR3586723,1.39
ERR3586724,1.944
ERR3586725,4.201
ERR3586726,2.794
ERR3586727,3.461
ERR3586728,1.528
ERR3586729,6.754
ERR3586730,2.544
ERR3586731,1.668
ERR3586732,2.183
ERR3586733,0
ERR3586734,1.061
ERR3586735,0
ERR3586736,0
ERR3586737,8.191
ERR3586738,0
ERR3586739,1.319
ERR3586740,2.171
ERR3586741,0
ERR3586742,2.071
ERR3586743,5.96
ERR3586744,4.694
ERR3586745,6.739
ERR3586746,4.886
ERR3586747,0
ERR3586748,1.876
ERR3586749,0.922
ERR3586750,2.063
ERR3586751,2.837
ERR3586752,1.072
ERR3586753,0.742
ERR3586754,0.935
ERR3586755,1.801
ERR3586756,1.156
ERR3586757,1.191
ERR3586758,1.19
ERR3586759,2.624
ERR3586760,0
ERR3586761,0.532
ERR3586762,1.074
ERR3586763,1.575
ERR3586764,0.688
ERR3586765,1.423
ERR3586766,1.784
ERR3586767,2.795
ERR3586768,0
ERR3586769,0
ERR3586770,0
ERR3586771,0.358
ERR3586772,0
ERR3586773,0
ERR3586774,0
ERR3586775,0
ERR3586776,0
ERR3586777,0.536
ERR3586778,0
ERR3586779,0.545
ERR3586780,0.934
ERR3586781,1.251
ERR3586782,1.275
ERR3586783,2.846
ERR3586784,3.145
ERR3586785,0
ERR3586786,0
ERR3586787,0
ERR3586788,0
ERR3586789,1.151
ERR3586790,1.188
ERR3586791,3.561
ERR3586792,1.756
ERR3586793,3.974
ERR3586794,0.444
ERR3586795,0.452
ERR3586796,2.464
ERR3586797,1.663
ERR3586798,2.208
ERR3586799,2.844
ERR3586800,2.275
ERR3586801,0.71
ERR3586802,0
ERR3586803,0.486
ERR3586804,1.675
ERR3586805,1.175
ERR3586806,1.948
ERR3586807,1.542
ERR3586808,0
ERR3586809,0.951
ERR3586810,0.943
ERR3586811,0.648
ERR3586812,1.623
ERR3586813,1.037
ERR3586814,0.774
ERR3586815,0.53
ERR3586816,1.09
ERR3586817,1.473
ERR3586818,0.587
ERR3586819,0.87
ERR3586820,0.881
ERR3586821,1.299
ERR3586822,1.289
ERR3586823,1.269
ERR3586824,1.61
ERR3586825,1.12
ERR3586826,1.857
ERR3586827,3.095
ERR3586828,1.668
ERR3586829,0.226
ERR3586830,0
ERR3586831,0
ERR3586832,0
ERR3586834,1.876
ERR3586835,3.187
ERR3586836,0
ERR3586837,1.486
ERR3586838,1.929
ERR3586839,1.937
ERR3586840,0
ERR3586841,1.552
ERR3586842,0
ERR3586843,0.82
ERR3586844,1.605
ERR3586845,0
ERR3586846,0
ERR3586847,0
ERR3586848,0
ERR3586849,0
ERR3586850,0
ERR3586851,0
ERR3586852,6.324
ERR3586853,3.092
ERR3586854,0
ERR3586855,3.249
ERR3586856,4.258
ERR3586857,2.155
ERR3586858,0.66
ERR3586859,1.608
ERR3586860,0.663
ERR3586861,1.017
ERR3586862,0.999
ERR3586863,0.329
ERR3586864,0.972
ERR3586865,0.67
ERR3586866,0
ERR3586867,0
ERR3586868,0
ERR3586869,0
ERR3586870,0
ERR3586871,0
ERR3586872,0
ERR3586873,0
ERR3586890,1.512
ERR3586891,0.875
ERR3586892,0.764
ERR3586893,0
ERR3586894,1.783
ERR3586895,0.56
ERR3586896,0.957
ERR3586897,0
ERR3586898,0.78
ERR3586899,1.532
ERR3586900,1.88
ERR3586901,0
ERR3586902,4.586
ERR3586903,0
ERR3586904,0
ERR3586905,0
ERR3586906,0
ERR3586907,0
ERR3586908,0
ERR3586909,0
ERR3586910,0
ERR3586911,1.978
ERR3586912,1.981
ERR3586913,2.042
ERR3586914,0.515
ERR3586915,1.02
ERR3586916,1.546
ERR3586917,1.533
ERR3586918,1.061
