sample_id,sumTPM
ERR1001626,13.995
ERR1001627,7.999
ERR1328122,4.631
ERR1328123,10.729
ERR1328124,10.262
ERR1328125,6.11
ERR1336911,5.91
ERR1336912,3.506
ERR3562601,10.982
ERR3586677,0
ERR3586678,5.776
ERR3586679,8.84
ERR3586680,7.615
ERR3586681,0
ERR3586682,4.905
ERR3586683,4.508
ERR3586684,9.907
ERR3586685,9.747
ERR3586686,5.347
ERR3586687,16.795
ERR3586688,11.143
ERR3586689,12.724
ERR3586690,0.728
ERR3586691,11.836
ERR3586692,0
ERR3586693,6.169
ERR3586694,5.877
ERR3586695,8.957
ERR3586696,9.306
ERR3586697,8.526
ERR3586698,8.218
ERR3586699,2.432
ERR3586700,6.984
ERR3586701,7.018
ERR3586702,9.898
ERR3586703,11.239
ERR3586704,9.427
ERR3586705,6.839
ERR3586706,11.592
ERR3586707,12.587
ERR3586708,10.036
ERR3586709,9.065
ERR3586710,4.51
ERR3586711,14.977
ERR3586712,0.235
ERR3586713,0
ERR3586714,5.838
ERR3586715,9.985
ERR3586716,19.907
ERR3586717,0
ERR3586718,8.382
ERR3586719,9.148
ERR3586720,8.861
ERR3586721,13.672
ERR3586722,8.696
ERR3586723,3.478
ERR3586724,9.372
ERR3586725,12.829
ERR3586726,11.12
ERR3586727,8.804
ERR3586728,9.726
ERR3586729,17.596
ERR3586730,16.159
ERR3586731,9.269
ERR3586732,8.63
ERR3586733,0
ERR3586734,14.638
ERR3586735,0
ERR3586736,5.936
ERR3586737,8.69
ERR3586738,0.713
ERR3586739,10.036
ERR3586740,11.745
ERR3586741,0
ERR3586742,7.009
ERR3586743,13.431
ERR3586744,8.512
ERR3586745,11.198
ERR3586746,18.511
ERR3586747,0
ERR3586748,5.925
ERR3586749,6.817
ERR3586750,8.403
ERR3586751,10.265
ERR3586752,7.444
ERR3586753,4.502
ERR3586754,8.627
ERR3586755,6.934
ERR3586756,7.451
ERR3586757,7.696
ERR3586758,5.407
ERR3586759,7.897
ERR3586760,5.256
ERR3586761,7.332
ERR3586762,5.667
ERR3586763,9.49
ERR3586764,8.201
ERR3586765,7.834
ERR3586766,7.671
ERR3586767,7.841
ERR3586768,7.414
ERR3586769,7.995
ERR3586770,9.365
ERR3586771,9.385
ERR3586772,0
ERR3586773,0
ERR3586774,0
ERR3586775,0
ERR3586776,13.794
ERR3586777,15.875
ERR3586778,12.842
ERR3586779,16.13
ERR3586780,7.013
ERR3586781,8.87
ERR3586782,6.614
ERR3586783,7.69
ERR3586784,11.577
ERR3586785,0.399
ERR3586786,0.333
ERR3586787,0.321
ERR3586788,0.158
ERR3586789,9.049
ERR3586790,9.705
ERR3586791,6.94
ERR3586792,7.387
ERR3586793,13.463
ERR3586794,10.685
ERR3586795,17.079
ERR3586796,13.237
ERR3586797,12.362
ERR3586798,9.739
ERR3586799,10.388
ERR3586800,13.845
ERR3586801,8.569
ERR3586802,6.513
ERR3586803,8.987
ERR3586804,7.166
ERR3586805,11.255
ERR3586806,11.161
ERR3586807,17.44
ERR3586808,15.29
ERR3586809,12.21
ERR3586810,13.879
ERR3586811,14.174
ERR3586812,10.38
ERR3586813,14.106
ERR3586814,10.875
ERR3586815,11.614
ERR3586816,10.352
ERR3586817,11.409
ERR3586818,11.11
ERR3586819,10.634
ERR3586820,13.553
ERR3586821,12.822
ERR3586822,8.409
ERR3586823,14.352
ERR3586824,11.748
ERR3586825,10.059
ERR3586826,13.899
ERR3586827,11.621
ERR3586828,11.446
ERR3586829,3.135
ERR3586830,4.686
ERR3586831,4.143
ERR3586832,6.284
ERR3586834,8.971
ERR3586835,7.51
ERR3586836,6.964
ERR3586837,7.207
ERR3586838,7.61
ERR3586839,7.116
ERR3586840,6.078
ERR3586841,5.953
ERR3586842,7.379
ERR3586843,6.809
ERR3586844,6.69
ERR3586845,4.16
ERR3586846,2.321
ERR3586847,4.651
ERR3586848,2.4
ERR3586849,8.414
ERR3586850,7.059
ERR3586851,4.85
ERR3586852,21.181
ERR3586853,23.423
ERR3586854,15.203
ERR3586855,19.022
ERR3586856,19.219
ERR3586857,19.931
ERR3586858,13.111
ERR3586859,11.877
ERR3586860,12.34
ERR3586861,13.237
ERR3586862,13.562
ERR3586863,8.584
ERR3586864,12.453
ERR3586865,13.419
ERR3586866,5.161
ERR3586867,7.051
ERR3586868,4.773
ERR3586869,4.546
ERR3586870,11.31
ERR3586871,6.702
ERR3586872,4.036
ERR3586873,5.045
ERR3586890,10.112
ERR3586891,8.66
ERR3586892,16.376
ERR3586893,10.744
ERR3586894,8.785
ERR3586895,14.859
ERR3586896,5.535
ERR3586897,0.927
ERR3586898,8.775
ERR3586899,6.347
ERR3586900,8.103
ERR3586901,2.041
ERR3586902,14.604
ERR3586903,12.148
ERR3586904,12.221
