sample_id,sumTPM
ERR1001626,4.795
ERR1001627,2.487
ERR1328122,4.361
ERR1328123,4.624
ERR1328124,6.732
ERR1328125,1.739
ERR1336911,0.122
ERR1336912,0
ERR3562601,0
ERR3586677,0.808
ERR3586678,2.527
ERR3586679,2.317
ERR3586680,3.034
ERR3586681,0
ERR3586682,4.854
ERR3586683,2.037
ERR3586684,6.15
ERR3586685,4.013
ERR3586686,2.144
ERR3586687,3.276
ERR3586688,3.822
ERR3586689,1.32
ERR3586690,0
ERR3586691,4.776
ERR3586692,0
ERR3586693,7.677
ERR3586694,6.877
ERR3586695,3.873
ERR3586696,1.621
ERR3586697,2.198
ERR3586698,7.373
ERR3586699,1.466
ERR3586700,0.935
ERR3586701,2.223
ERR3586702,2.622
ERR3586703,3.743
ERR3586704,6.516
ERR3586705,2.246
ERR3586706,1.683
ERR3586707,4.221
ERR3586708,1.982
ERR3586709,1.826
ERR3586710,1.311
ERR3586711,1.337
ERR3586712,0
ERR3586713,0
ERR3586714,3.269
ERR3586715,5.024
ERR3586716,3.061
ERR3586717,0
ERR3586718,0.875
ERR3586719,1.329
ERR3586720,3.338
ERR3586721,2.76
ERR3586722,3.499
ERR3586723,3.123
ERR3586724,5.238
ERR3586725,1.415
ERR3586726,2.091
ERR3586727,0
ERR3586728,3.435
ERR3586729,2.529
ERR3586730,0.953
ERR3586731,0.938
ERR3586732,0.817
ERR3586733,0
ERR3586734,11.913
ERR3586735,0
ERR3586736,8.907
ERR3586737,8.178
ERR3586738,7.371
ERR3586739,4.443
ERR3586740,0.61
ERR3586741,0
ERR3586742,6.395
ERR3586743,0
ERR3586744,6.203
ERR3586745,15.138
ERR3586746,8.232
ERR3586747,0
ERR3586748,4.516
ERR3586749,2.073
ERR3586750,7.413
ERR3586751,6.675
ERR3586752,9.625
ERR3586753,5.84
ERR3586754,9.247
ERR3586755,7.284
ERR3586756,2.596
ERR3586757,2.676
ERR3586758,1.337
ERR3586759,3.929
ERR3586760,17.39
ERR3586761,10.762
ERR3586762,14.474
ERR3586763,14.147
ERR3586764,22.394
ERR3586765,15.982
ERR3586766,19.233
ERR3586767,16.478
ERR3586768,0.802
ERR3586769,2.419
ERR3586770,6.508
ERR3586771,4.831
ERR3586772,0
ERR3586773,0
ERR3586774,0
ERR3586775,0
ERR3586776,4.776
ERR3586777,2.408
ERR3586778,3.706
ERR3586779,4.896
ERR3586780,2.798
ERR3586781,2.106
ERR3586782,3.58
ERR3586783,2.84
ERR3586784,2.27
ERR3586785,0
ERR3586786,1.172
ERR3586787,0
ERR3586788,0
ERR3586789,0
ERR3586790,1.334
ERR3586791,2.666
ERR3586792,2.63
ERR3586793,0
ERR3586794,3.987
ERR3586795,4.065
ERR3586796,5.533
ERR3586797,2.49
ERR3586798,1.24
ERR3586799,0
ERR3586800,1.277
ERR3586801,0
ERR3586802,1.093
ERR3586803,0
ERR3586804,0.538
ERR3586805,3.518
ERR3586806,1.75
ERR3586807,0.866
ERR3586808,3.501
ERR3586809,1.424
ERR3586810,0
ERR3586811,2.184
ERR3586812,2.917
ERR3586813,2.331
ERR3586814,2.9
ERR3586815,2.973
ERR3586816,1.835
ERR3586817,15.217
ERR3586818,13.184
ERR3586819,14.988
ERR3586820,13.847
ERR3586821,12.4
ERR3586822,10.134
ERR3586823,8.548
ERR3586824,13.019
ERR3586825,1.258
ERR3586826,2.78
ERR3586827,1.39
ERR3586828,2.498
ERR3586829,0
ERR3586830,0
ERR3586831,0
ERR3586832,0
ERR3586834,5.268
ERR3586835,7.159
ERR3586836,8.963
ERR3586837,5.565
ERR3586838,8.664
ERR3586839,5.438
ERR3586840,3.546
