sample_id,sumTPM
ERR1001626,2.651
ERR1001627,2.994
ERR1328122,3.262
ERR1328123,1.214
ERR1328124,0
ERR1328125,1.922
ERR1336911,0.11
ERR1336912,0.41
ERR3562601,0
ERR3586677,0
ERR3586678,0
ERR3586679,0.577
ERR3586680,1.044
ERR3586681,0
ERR3586682,0.323
ERR3586683,0
ERR3586684,0.541
ERR3586685,1.707
ERR3586686,0
ERR3586687,0.455
ERR3586688,2.076
ERR3586689,1.985
ERR3586690,0
ERR3586691,1.724
ERR3586692,0
ERR3586693,0.63
ERR3586694,0
ERR3586695,0.577
ERR3586696,0.418
ERR3586697,1.158
ERR3586698,0.644
ERR3586699,0.441
ERR3586700,2.326
ERR3586701,1.147
ERR3586702,2.168
ERR3586703,0
ERR3586704,2.241
ERR3586705,2.703
ERR3586706,0.203
ERR3586707,0.238
ERR3586708,5.084
ERR3586709,2.152
ERR3586710,0.619
ERR3586711,0.704
ERR3586712,0
ERR3586713,0
ERR3586714,0
ERR3586715,2.268
ERR3586716,3.159
ERR3586717,0
ERR3586718,0.79
ERR3586719,1.2
ERR3586720,1.206
ERR3586721,0.831
ERR3586722,6.318
ERR3586723,7.249
ERR3586724,0
ERR3586725,0
ERR3586726,0.629
ERR3586727,3.07
ERR3586728,0.775
ERR3586729,2.392
ERR3586730,2.58
ERR3586731,5.076
ERR3586732,1.475
ERR3586733,0
ERR3586734,0
ERR3586735,0
ERR3586736,0
ERR3586737,0
ERR3586738,0
ERR3586739,0
ERR3586740,2.201
ERR3586741,0
ERR3586742,0
ERR3586743,0
ERR3586744,0
ERR3586745,2.278
ERR3586746,0.826
ERR3586747,0
ERR3586748,0.272
ERR3586749,1.247
ERR3586750,0
ERR3586751,1.409
ERR3586752,0.724
ERR3586753,0.753
ERR3586754,0.759
ERR3586755,1.461
ERR3586756,2.511
ERR3586757,1.208
ERR3586758,0
ERR3586759,2.533
ERR3586760,0
ERR3586761,2.16
ERR3586762,2.178
ERR3586763,1.064
ERR3586764,2.39
ERR3586765,0.825
ERR3586766,0.827
ERR3586767,1.518
ERR3586768,0
ERR3586769,0.832
ERR3586770,0.734
ERR3586771,0.727
ERR3586772,0
ERR3586773,0
ERR3586774,0
ERR3586775,0
ERR3586776,0
ERR3586777,1.087
ERR3586778,1.115
ERR3586779,2.21
ERR3586780,3.879
ERR3586781,1.268
ERR3586782,1.293
ERR3586783,1.282
ERR3586784,4.197
ERR3586785,0
ERR3586786,0
ERR3586787,1.079
ERR3586788,0.265
ERR3586789,5.918
ERR3586790,2.408
ERR3586791,2.578
ERR3586792,2.458
ERR3586793,0.895
ERR3586794,0
ERR3586795,0
ERR3586796,1.142
ERR3586797,3.372
ERR3586798,2.239
ERR3586799,4.613
ERR3586800,3.624
ERR3586801,4.077
ERR3586802,1.974
ERR3586803,3.945
ERR3586804,3.398
ERR3586805,1.588
ERR3586806,3.16
ERR3586807,2.345
ERR3586808,6.322
ERR3586809,1.285
ERR3586810,0
ERR3586811,1.314
ERR3586812,6.021
ERR3586813,2.705
ERR3586814,0.524
ERR3586815,1.074
ERR3586816,1.381
ERR3586817,1.194
ERR3586818,2.975
ERR3586819,0.588
ERR3586820,1.786
ERR3586821,2.916
ERR3586822,0.653
ERR3586823,0
ERR3586824,1.306
ERR3586825,1.785
ERR3586826,5.02
ERR3586827,1.255
ERR3586828,0.644
ERR3586829,2.292
ERR3586830,1.665
ERR3586831,1.648
ERR3586832,3.328
ERR3586834,0.951
ERR3586835,0.923
ERR3586836,0
ERR3586837,0
ERR3586838,1.955
ERR3586839,1.964
ERR3586840,0
ERR3586841,1.573
ERR3586842,0
ERR3586843,0
ERR3586844,0
ERR3586845,0
ERR3586846,0
ERR3586847,0
ERR3586848,0
ERR3586849,0
ERR3586850,0
ERR3586851,0
ERR3586852,0
ERR3586853,0
ERR3586854,4.471
ERR3586855,0
ERR3586856,2.159
ERR3586857,0
ERR3586858,0
ERR3586859,0
ERR3586860,0
ERR3586861,0
ERR3586862,0
ERR3586863,0
ERR3586864,0
ERR3586865,0
ERR3586866,0
ERR3586867,0
ERR3586868,0
ERR3586869,0
ERR3586870,0
ERR3586871,0
ERR3586872,0
ERR3586873,0
ERR3586890,2.494
ERR3586891,2.439
ERR3586892,1.517
ERR3586893,0
ERR3586894,0.689
ERR3586895,6.644
ERR3586896,0.728
ERR3586897,0
ERR3586898,1.606
ERR3586899,0
ERR3586900,0.763
ERR3586901,0
ERR3586902,0.725
ERR3586903,0
ERR3586904,0
ERR3586905,0
ERR3586906,0
ERR3586907,0
ERR3586908,0
ERR3586909,0
ERR3586910,0
ERR3586911,4.298
ERR3586912,5.165
ERR3586913,2.736
ERR3586914,4.328
ERR3586915,3.105
ERR3586916,1.045
ERR3586917,0
ERR3586918,1.767
ERR3586919,0
ERR3586920,0
ERR3586921,1.358
ERR3586922,4.463
ERR3586923,1.47
ERR3586924,0.394
ERR3586925,0.679
ERR3586926,0
ERR3586927,3.231
ERR3586928,3.25
ERR3586929,0
ERR3586930,0
ERR3586931,3.364
ERR3586932,0
ERR3586933,0
ERR3586934,0
ERR3586935,0.765
ERR3586936,1.085
ERR3586937,1.053
ERR3586938,2.174
ERR3586939,2.873
ERR3586940,0.399
ERR3586941,0
ERR3586942,0
ERR3586943,1.558
ERR3586944,4.514
ERR3586945,2.209
ERR3586946,2.089
ERR3586947,5.376
ERR3586948,0.806
ERR3586949,2.312
ERR3586950,0.568
ERR3586951,2.525
ERR3586952,0.221
ERR3586953,1.081
ERR3586954,1.9
ERR3586955,0.499
ERR3586956,2.757
ERR3586957,3.143
ERR3586958,3.624
ERR3586959,1.818
ERR3586960,0
ERR3586961,2.837
ERR3586962,0.476
ERR3586963,1.22
ERR3586967,0.395
ERR3586968,1.3
ERR3586969,1.676
ERR3586970,2.614
ERR3586971,2.416
ERR3586972,1.377
ERR3586973,1.193
ERR3586974,1.485
ERR3586975,1.673
ERR3586976,0.54
ERR3586977,1.203
ERR3586978,1.263
ERR3586979,1.402
ERR3586980,1.911
ERR3586981,2.319
ERR3586982,4.702
ERR3586983,1.736
ERR3586984,2.382
ERR3586985,0.229
ERR3586986,4.891
ERR3586987,0
ERR3586988,0.102
ERR3586989,3.453
ERR3586990,0.682
ERR3586991,1.574
ERR3586992,0
ERR3586993,0
ERR3586994,1.417
ERR3586995,0.387
ERR3586996,2.32
ERR3586997,3.036
ERR3586998,1.236
ERR3586999,0
ERR3587000,0
ERR3587001,6.501
ERR3587002,0.624
ERR3587003,1.625
ERR3587004,1.096
ERR3587005,7.765
ERR3587006,0
ERR3587007,4.38
ERR3587008,2.288
ERR3587009,0
ERR3587010,0
ERR3587011,2.815
ERR3587012,2.224
ERR3587013,2.294
ERR3587014,0
ERR3587015,1.356
ERR3587016,0
ERR3587017,0
ERR3587018,0
ERR3587019,2.815
ERR3587020,4.134
ERR3587021,2.804
ERR3587022,2.224
ERR3587023,1.4
ERR3587024,0.843
ERR3587025,0
ERR3587026,0
ERR3587027,0
ERR3587028,0
ERR3587029,0
ERR3587030,4.242
ERR3587031,5.306
ERR3587035,0
ERR3587037,0.879
ERR3587038,1.376
ERR3587039,1.067
ERR3587040,1.314
ERR3587041,1.007
ERR3587042,0.797
ERR3587043,6.625
ERR3587044,0
ERR3587045,0
ERR3587046,0.532
ERR3587047,2.432
ERR3587048,1.53
ERR3587049,1.069
ERR3587050,0
ERR3587051,1.828
ERR3587052,0.969
ERR3587053,0.839
ERR3587054,1.584
ERR3587055,5.343
ERR3587056,1.164
ERR3587057,2.645
ERR3587058,1.275
ERR3587059,1.107
ERR3587060,3.204
ERR3587061,4.873
ERR3587062,3.008
ERR3587063,0.815
ERR3587064,3.458
ERR3587065,0
ERR3587066,2.933
ERR3587067,3.508
ERR3587068,2.746
ERR3587069,0
ERR3587070,0
ERR3587071,0
ERR3587072,0.703
ERR3587073,2.356
ERR3587074,5.428
ERR3587075,2.685
ERR3587076,2.338
ERR3587077,2.649
ERR3587078,0
ERR3587079,4.966
ERR3587080,0
ERR3587081,0
ERR3587082,3.682
ERR3587083,2.293
ERR3587084,3.39
ERR3587085,0
ERR3587086,0
ERR3587087,0.775
ERR3587090,2.414
ERR3587091,0
ERR3587092,1.657
ERR3587093,2.652
ERR3587094,5.123
ERR3587095,0.756
ERR3587096,3.404
ERR3587097,2.279
ERR3587098,0.882
ERR3587099,3.028
ERR3587100,2.632
ERR3587101,1.369
ERR3587102,0
ERR3587103,2.663
ERR3587104,0.573
ERR3587105,1.588
ERR3587106,1.802
ERR3587107,1.985
ERR3587108,4.171
ERR3587109,0
ERR3587110,0
ERR3587111,3.779
ERR3587112,3.143
ERR3587113,0
ERR3587114,1.24
ERR3587115,0
ERR3587116,3.208
ERR3587117,0.625
ERR3587118,0
ERR3587119,1.862
ERR3587120,4.789
ERR3587121,0.411
ERR3587122,0
ERR3587123,2.223
ERR3587124,2.693
ERR3587125,0
ERR3587126,0
ERR3587127,0
ERR3587128,2.081
ERR3587129,1.485
ERR3587130,1.077
ERR3587131,1.867
ERR3587132,0
ERR3587133,0
ERR3587134,1.551
ERR3587135,0.23
ERR3587136,0.542
ERR3587137,2.145
ERR3587138,0.316
ERR3587139,0.977
ERR3587140,2.162
ERR3587141,0
ERR3587142,0.333
ERR3587143,0.85
ERR3587144,0.504
ERR3587145,0
ERR3587146,0
ERR3587147,0.151
ERR3587148,0.261
ERR3587149,0.774
ERR3587150,0.33
ERR3587151,0
ERR3587154,3.913
ERR3587155,0
ERR3587156,0.53
ERR3587157,0
ERR3587158,0
ERR3587159,0
ERR3587160,0
ERR3587161,0
ERR3587162,0
ERR3587163,0
ERR3587164,0
ERR3587165,2.211
ERR3587166,0
ERR3587167,0.648
ERR3587168,0
ERR3587169,0.687
ERR3587170,0
ERR3587171,3.273
ERR3587172,0
ERR3587173,0
ERR3587174,0
ERR3587175,0.812
ERR3587176,0
ERR3587177,1.749
ERR3587178,2.161
ERR3587179,0
ERR3587180,2.263
ERR3587181,5.525
ERR3587182,0
ERR3587183,0
ERR3587184,0
ERR3587185,0
ERR3587186,0.928
ERR3587187,0.91
ERR3587188,3.974
ERR3587189,0
ERR3587190,0
ERR3587191,2.101
ERR3587192,0.835
ERR3587193,4.909
ERR3587194,1.024
ERR3587195,0
ERR3587196,1.132
ERR3587197,2.825
ERR3587198,0.163
ERR3587199,3.476
ERR3587200,2.265
ERR3587201,2.499
ERR3587202,0
ERR3587203,0
ERR3587204,0.816
