sample_id,sumTPM
ERR1001626,4.333
ERR1001627,11.8
ERR1328122,16.278
ERR1328123,1.312
ERR1328124,0.67
ERR1328125,21.355
ERR1336911,4.961
ERR1336912,4.765
ERR3562601,0
ERR3586677,0
ERR3586678,7.555
ERR3586679,3.13
ERR3586680,2.52
ERR3586681,0
ERR3586682,2.15
ERR3586683,0.683
ERR3586684,4.897
ERR3586685,4.452
ERR3586686,3.885
ERR3586687,14.987
ERR3586688,6.779
ERR3586689,5.2
ERR3586690,0
ERR3586691,7.695
ERR3586692,0
ERR3586693,1.384
ERR3586694,5.452
ERR3586695,2.875
ERR3586696,6.62
ERR3586697,4.94
ERR3586698,2.348
ERR3586699,0.685
ERR3586700,3.525
ERR3586701,3.561
ERR3586702,7.9
ERR3586703,7.506
ERR3586704,2.05
ERR3586705,2.58
ERR3586706,3.153
ERR3586707,4.409
ERR3586708,6.163
ERR3586709,6.781
ERR3586710,3.307
ERR3586711,4.022
ERR3586712,0
ERR3586713,0
ERR3586714,8.635
ERR3586715,3.402
ERR3586716,2.889
ERR3586717,0
ERR3586718,6.119
ERR3586719,3.717
ERR3586720,2.649
ERR3586721,5.767
ERR3586722,0.766
ERR3586723,4.143
ERR3586724,2.316
ERR3586725,5.821
ERR3586726,3.504
ERR3586727,1.362
ERR3586728,3.992
ERR3586729,7.09
ERR3586730,5.753
ERR3586731,4.088
ERR3586732,8.343
ERR3586733,0
ERR3586734,13.085
ERR3586735,0
ERR3586736,0
ERR3586737,9.646
ERR3586738,0
ERR3586739,6.098
ERR3586740,5.677
ERR3586741,0
ERR3586742,3.88
ERR3586743,0
ERR3586744,2.969
ERR3586745,8.558
ERR3586746,15.275
ERR3586747,0
ERR3586748,2.961
ERR3586749,3.802
ERR3586750,2.89
ERR3586751,4.924
ERR3586752,3.319
ERR3586753,3.046
ERR3586754,5.611
ERR3586755,4.378
ERR3586756,1.722
ERR3586757,0.897
ERR3586758,0.878
ERR3586759,4.299
ERR3586760,10.093
ERR3586761,9.716
ERR3586762,11.483
ERR3586763,13.844
ERR3586764,6.094
ERR3586765,6.58
ERR3586766,6.795
ERR3586767,7.052
ERR3586768,6.33
ERR3586769,4.037
ERR3586770,6.788
ERR3586771,6.41
ERR3586772,0
ERR3586773,0
ERR3586774,0
ERR3586775,0
ERR3586776,32.062
ERR3586777,32.821
ERR3586778,37.634
ERR3586779,33.374
ERR3586780,32.884
ERR3586781,36.742
ERR3586782,42.215
ERR3586783,35.767
ERR3586784,5.53
ERR3586785,0
ERR3586786,0
ERR3586787,0
ERR3586788,0
ERR3586789,4.702
ERR3586790,7.464
ERR3586791,8.049
ERR3586792,6.182
ERR3586793,16.645
ERR3586794,15.93
ERR3586795,11.829
ERR3586796,15.862
ERR3586797,8.089
ERR3586798,3.562
ERR3586799,8.808
ERR3586800,7.338
ERR3586801,5.505
ERR3586802,2.423
ERR3586803,7.827
ERR3586804,5.986
ERR3586805,6.099
ERR3586806,6.205
ERR3586807,7.767
ERR3586808,6.069
ERR3586809,7.379
ERR3586810,7.685
ERR3586811,8.556
ERR3586812,7.074
ERR3586813,3.943
ERR3586814,6.328
ERR3586815,3.973
ERR3586816,5.037
ERR3586817,4.58
ERR3586818,4.477
ERR3586819,3.012
ERR3586820,5.772
ERR3586821,9.179
ERR3586822,3.415
ERR3586823,3.878
ERR3586824,5.619
ERR3586825,10.015
ERR3586826,12.901
ERR3586827,13.835
ERR3586828,8.406
ERR3586829,1.341
ERR3586830,0
ERR3586831,0
ERR3586832,0.908
ERR3586834,2.781
ERR3586835,8.155
ERR3586836,5.156
ERR3586837,8.821
ERR3586838,6.421
ERR3586839,5.802
ERR3586840,237.966
ERR3586841,243.323
ERR3586842,235.591
ERR3586843,263.511
ERR3586844,253.643
ERR3586845,244.875
ERR3586846,95.649
ERR3586847,92.831
ERR3586848,72.606
ERR3586849,60.098
ERR3586850,80.149
ERR3586851,66.402
ERR3586852,61.137
ERR3586853,37.523
ERR3586854,53.723
ERR3586855,34.234
ERR3586856,46.58
ERR3586857,56.103
ERR3586858,12.761
ERR3586859,13.758
ERR3586860,20.1
ERR3586861,16.558
ERR3586862,17.36
ERR3586863,17.222
ERR3586864,12.068
ERR3586865,17.972
ERR3586866,7.887
ERR3586867,3.725
ERR3586868,10.875
ERR3586869,18.956
ERR3586870,20.364
ERR3586871,10.494
ERR3586872,9.163
ERR3586873,17.856
ERR3586890,2.356
ERR3586891,6.83
ERR3586892,3.414
ERR3586893,12.408
ERR3586894,10.361
ERR3586895,0.826
ERR3586896,2.739
ERR3586897,0
ERR3586898,4.621
ERR3586899,4.701
ERR3586900,96.386
ERR3586901,14.674
ERR3586902,9.843
ERR3586903,9.717
ERR3586904,7.406
ERR3586905,2.443
ERR3586906,12.893
ERR3586907,7.808
ERR3586908,5.019
ERR3586909,4.947
ERR3586910,15.788
ERR3586911,7.498
ERR3586912,5.485
ERR3586913,7.362
ERR3586914,5.603
ERR3586915,7.104
ERR3586916,3.064
ERR3586917,4.727
ERR3586918,7.176
ERR3586919,7.496
ERR3586920,8.147
ERR3586921,3.962
ERR3586922,7.936
ERR3586923,9.332
ERR3586924,7.445
ERR3586925,10.839
ERR3586926,5.381
ERR3586927,14.246
ERR3586928,11.41
ERR3586929,14.618
ERR3586930,22.032
ERR3586931,21.56
ERR3586932,16.513
ERR3586933,16.88
ERR3586934,22.22
ERR3586935,8.221
ERR3586936,7.714
ERR3586937,2.714
ERR3586938,2.4
ERR3586939,0
ERR3586940,7.739
ERR3586941,5.823
ERR3586942,0
ERR3586943,8.959
ERR3586944,3.264
ERR3586945,7.308
ERR3586946,13.924
ERR3586947,33.656
ERR3586948,5.386
ERR3586949,6.499
ERR3586950,6.177
ERR3586951,7.871
ERR3586952,8.038
ERR3586953,10.303
ERR3586954,4.228
ERR3586955,7.134
ERR3586956,5.295
ERR3586957,6.986
ERR3586958,6.559
ERR3586959,9.736
ERR3586960,7.14
ERR3586961,2.952
ERR3586962,2.079
ERR3586963,9.311
ERR3586967,11.584
ERR3586968,4.064
ERR3586969,9.037
ERR3586970,8.498
ERR3586971,6.087
ERR3586972,5.13
ERR3586973,5.758
ERR3586974,5.109
ERR3586975,90.002
ERR3586976,6.864
ERR3586977,3.68
ERR3586978,4.417
ERR3586979,48.481
ERR3586980,8.764
ERR3586981,5.95
ERR3586982,7.842
ERR3586983,102.752
ERR3586984,5.077
ERR3586985,2.125
ERR3586986,0.502
ERR3586987,2.874
ERR3586988,2
ERR3586989,3.377
