sample_id,sumTPM
ERR1001626,269.728
ERR1001627,273.999
ERR1328122,226.274
ERR1328123,214.873
ERR1328124,215.65
ERR1328125,228.223
ERR1336911,217.27
ERR1336912,177.231
ERR3562601,457.58
ERR3586677,42.525
ERR3586678,237.132
ERR3586679,275.71
ERR3586680,300.16
ERR3586681,6.59
ERR3586682,204.912
ERR3586683,182.96
ERR3586684,380.669
ERR3586685,358.142
ERR3586686,177.771
ERR3586687,491.011
ERR3586688,358.595
ERR3586689,385.754
ERR3586690,58.126
ERR3586691,397.396
ERR3586692,29.419
ERR3586693,220.542
ERR3586694,412.612
ERR3586695,398.689
ERR3586696,417.842
ERR3586697,305.766
ERR3586698,288.831
ERR3586699,218.687
ERR3586700,367.684
ERR3586701,215.028
ERR3586702,418.059
ERR3586703,374.348
ERR3586704,436.734
ERR3586705,279.323
ERR3586706,311.961
ERR3586707,352.832
ERR3586708,410.256
ERR3586709,404.324
ERR3586710,272.968
ERR3586711,360.098
ERR3586712,39.253
ERR3586713,8.484
ERR3586714,238.449
ERR3586715,414.037
ERR3586716,386.928
ERR3586717,61.866
ERR3586718,453.218
ERR3586719,389.753
ERR3586720,368.272
ERR3586721,371.758
ERR3586722,422.349
ERR3586723,262.268
ERR3586724,324.235
ERR3586725,364.223
ERR3586726,281.926
ERR3586727,309.61
ERR3586728,371.511
ERR3586729,366.564
ERR3586730,398.219
ERR3586731,399.078
ERR3586732,417.947
ERR3586733,68.347
ERR3586734,392.662
ERR3586735,22.052
ERR3586736,204.05
ERR3586737,382.626
ERR3586738,95.265
ERR3586739,296.662
ERR3586740,419.441
ERR3586741,11.934
ERR3586742,246.442
ERR3586743,311.649
ERR3586744,392.448
ERR3586745,346.418
ERR3586746,507.522
ERR3586747,12.504
ERR3586748,395.633
ERR3586749,301.701
ERR3586750,307.386
ERR3586751,317.128
ERR3586752,232.752
ERR3586753,235.267
ERR3586754,252.304
ERR3586755,248.836
ERR3586756,942.299
ERR3586757,953.719
ERR3586758,962.149
ERR3586759,959.745
ERR3586760,305.283
ERR3586761,301.935
ERR3586762,325.947
ERR3586763,308.012
ERR3586764,349.041
ERR3586765,366.738
ERR3586766,370.929
ERR3586767,361.43
ERR3586768,600.717
ERR3586769,606.372
ERR3586770,605.036
ERR3586771,635.731
ERR3586772,1.551
ERR3586773,0.401
ERR3586774,2.318
ERR3586775,0.463
ERR3586776,450.496
ERR3586777,437.931
ERR3586778,433.69
ERR3586779,445.339
ERR3586780,344.803
ERR3586781,364.49
ERR3586782,355.721
ERR3586783,358.704
ERR3586784,329.917
ERR3586785,26.045
ERR3586786,27.064
ERR3586787,30.875
ERR3586788,24.616
ERR3586789,360.725
ERR3586790,337.978
ERR3586791,343.263
ERR3586792,354.725
ERR3586793,456.717
ERR3586794,414.652
ERR3586795,454.022
ERR3586796,411.321
ERR3586797,312.561
ERR3586798,297.185
ERR3586799,320.107
ERR3586800,313.918
ERR3586801,300.175
ERR3586802,298.249
ERR3586803,316.951
ERR3586804,308.867
ERR3586805,392.327
ERR3586806,398.925
ERR3586807,399.066
ERR3586808,396.271
ERR3586809,374.245
ERR3586810,350.616
ERR3586811,362.362
ERR3586812,384.426
ERR3586813,338.74
ERR3586814,367.852
ERR3586815,350.958
ERR3586816,332.772
ERR3586817,387.757
ERR3586818,378.605
ERR3586819,382.306
ERR3586820,369.781
ERR3586821,311.562
ERR3586822,322.069
ERR3586823,311.832
ERR3586824,328.867
ERR3586825,355.124
ERR3586826,314.481
ERR3586827,323.262
ERR3586828,372.03
ERR3586829,85.785
ERR3586830,148.399
ERR3586831,126.857
ERR3586832,132.298
ERR3586834,310.13
ERR3586835,319.3
ERR3586836,306.952
ERR3586837,305.285
ERR3586838,309.86
ERR3586839,316.082
ERR3586840,311.399
ERR3586841,310.036
ERR3586842,310.024
ERR3586843,342.505
ERR3586844,310.128
ERR3586845,314.321
ERR3586846,419.369
ERR3586847,398.401
ERR3586848,376.619
ERR3586849,444.001
ERR3586850,459.55
ERR3586851,422.791
ERR3586852,269.121
ERR3586853,282.295
ERR3586854,285.209
ERR3586855,281.006
ERR3586856,297.025
ERR3586857,272.157
ERR3586858,1361.2
