sample_id,sumTPM
ERR1001626,3.38
ERR1001627,15.397
ERR1328122,1.518
ERR1328123,1.406
ERR1328124,1.465
ERR1328125,1.225
ERR1336911,2.686
ERR1336912,1.185
ERR3562601,0
ERR3586677,0
ERR3586678,1.897
ERR3586679,0.278
ERR3586680,1.043
ERR3586681,0
ERR3586682,0
ERR3586683,0.591
ERR3586684,1.512
ERR3586685,2.562
ERR3586686,1.866
ERR3586687,1.462
ERR3586688,0.935
ERR3586689,1.786
ERR3586690,0
ERR3586691,2.772
ERR3586692,0
ERR3586693,2.025
ERR3586694,0.921
ERR3586695,1.821
ERR3586696,3.225
ERR3586697,2.233
ERR3586698,0.69
ERR3586699,0.284
ERR3586700,1.382
ERR3586701,1.173
ERR3586702,0.626
ERR3586703,0.869
ERR3586704,1.621
ERR3586705,0.434
ERR3586706,0.26
ERR3586707,1.302
ERR3586708,0.739
ERR3586709,0.757
ERR3586710,0.761
ERR3586711,1.164
ERR3586712,0
ERR3586713,0
ERR3586714,1.423
ERR3586715,1.458
ERR3586716,2.031
ERR3586717,0
ERR3586718,4.572
ERR3586719,0.771
ERR3586720,1.163
ERR3586721,0.534
ERR3586722,1.354
ERR3586723,3.624
ERR3586724,0.507
ERR3586725,1.643
ERR3586726,1.214
ERR3586727,0
ERR3586728,1.495
ERR3586729,0
ERR3586730,2.764
ERR3586731,0.816
ERR3586732,0
ERR3586733,0
ERR3586734,2.074
ERR3586735,0
ERR3586736,0
ERR3586737,0
ERR3586738,0
ERR3586739,1.719
ERR3586740,1.062
ERR3586741,0
ERR3586742,0
ERR3586743,0
ERR3586744,2.16
ERR3586745,0
ERR3586746,1.062
ERR3586747,0
ERR3586748,1.572
ERR3586749,2.406
ERR3586750,0
ERR3586751,0.704
ERR3586752,0.466
ERR3586753,0.484
ERR3586754,1.464
ERR3586755,0
ERR3586756,1.506
ERR3586757,0
ERR3586758,0
ERR3586759,0
ERR3586760,2.019
ERR3586761,1.388
ERR3586762,2.1
ERR3586763,1.368
ERR3586764,0.448
ERR3586765,0.464
ERR3586766,0.93
ERR3586767,2.277
ERR3586768,2.793
ERR3586769,2.808
ERR3586770,2.833
ERR3586771,4.206
ERR3586772,0
ERR3586773,0
ERR3586774,0
ERR3586775,0
ERR3586776,2.079
ERR3586777,2.096
ERR3586778,1.434
ERR3586779,1.42
ERR3586780,0.812
ERR3586781,2.037
ERR3586782,1.247
ERR3586783,0.824
ERR3586784,0.292
ERR3586785,0
ERR3586786,0
ERR3586787,0
ERR3586788,0
ERR3586789,3.75
ERR3586790,0
ERR3586791,1.548
ERR3586792,0.763
