sample_id,sumTPM
ERR1001626,4.135
ERR1001627,2.425
ERR1328122,1.206
ERR1328123,7.042
ERR1328124,7.215
ERR1328125,2.507
ERR1336911,1.179
ERR1336912,0
ERR3562601,0
ERR3586677,5.031
ERR3586678,24.146
ERR3586679,4.41
ERR3586680,5.94
ERR3586681,0
ERR3586682,5.197
ERR3586683,23.948
ERR3586684,2.32
ERR3586685,4.435
ERR3586686,5.729
ERR3586687,4.872
ERR3586688,8.109
ERR3586689,6.636
ERR3586690,0
ERR3586691,3.495
ERR3586692,0
ERR3586693,2.413
ERR3586694,9.694
ERR3586695,0.462
ERR3586696,0.793
ERR3586697,1.612
ERR3586698,3.454
ERR3586699,2.779
ERR3586700,10.351
ERR3586701,1.397
ERR3586702,5.972
ERR3586703,5.35
ERR3586704,2.673
ERR3586705,12.162
ERR3586706,3.845
ERR3586707,4.098
ERR3586708,1.661
ERR3586709,2.92
ERR3586710,3.845
ERR3586711,5.225
ERR3586712,0
ERR3586713,1.328
ERR3586714,29.363
ERR3586715,5.608
ERR3586716,4.07
ERR3586717,0
ERR3586718,0.605
ERR3586719,4.346
ERR3586720,14.083
ERR3586721,7.784
ERR3586722,3.814
ERR3586723,14.036
ERR3586724,5.873
ERR3586725,8.455
ERR3586726,7.06
ERR3586727,5.711
ERR3586728,2.485
ERR3586729,9.3
ERR3586730,5.091
ERR3586731,1.488
ERR3586732,2.672
ERR3586733,0
ERR3586734,8.58
ERR3586735,0
ERR3586736,1.496
ERR3586737,4.241
ERR3586738,0.849
ERR3586739,2.048
ERR3586740,7.166
ERR3586741,0
ERR3586742,7.639
ERR3586743,11.571
ERR3586744,2.887
ERR3586745,3.016
ERR3586746,1.265
ERR3586747,0
ERR3586748,0.833
ERR3586749,1.433
ERR3586750,3.845
ERR3586751,3.195
ERR3586752,4.338
ERR3586753,2.283
ERR3586754,7.931
ERR3586755,7.384
ERR3586756,8.244
ERR3586757,8.249
ERR3586758,3.697
ERR3586759,14.904
ERR3586760,1.603
ERR3586761,3.272
ERR3586762,4.778
ERR3586763,2.224
ERR3586764,10.223
ERR3586765,8.143
ERR3586766,6.654
ERR3586767,5.848
ERR3586768,1.212
ERR3586769,0.964
ERR3586770,0
ERR3586771,0
ERR3586772,0
ERR3586773,0
ERR3586774,0
ERR3586775,0
ERR3586776,2.477
ERR3586777,0.416
ERR3586778,1.281
ERR3586779,0.423
ERR3586780,3.763
ERR3586781,2.407
ERR3586782,3.332
ERR3586783,1.765
ERR3586784,2.51
ERR3586785,0
ERR3586786,0
ERR3586787,0
ERR3586788,0.407
ERR3586789,8.228
ERR3586790,5.746
ERR3586791,9.639
ERR3586792,10.228
ERR3586793,7.672
ERR3586794,6.927
ERR3586795,4.472
ERR3586796,5.777
ERR3586797,7.084
ERR3586798,2.144
ERR3586799,3.294
ERR3586800,3.974
ERR3586801,9.085
ERR3586802,9.246
ERR3586803,7.555
ERR3586804,8.958
ERR3586805,14.597
ERR3586806,14.054
ERR3586807,9.416
ERR3586808,11.034
ERR3586809,14.027
ERR3586810,11.193
ERR3586811,12.676
ERR3586812,13.23
ERR3586813,11.261
ERR3586814,7.401
ERR3586815,11.609
ERR3586816,10.998
ERR3586817,10.317
ERR3586818,11.623
ERR3586819,11.902
ERR3586820,10.368
ERR3586821,4.792
ERR3586822,5.734
ERR3586823,4.725
ERR3586824,5.23
ERR3586825,6.488
ERR3586826,9.091
ERR3586827,5.989
ERR3586828,4.911
ERR3586829,0.256
ERR3586830,1.912
ERR3586831,1.894
ERR3586832,1.101
ERR3586834,4.705
ERR3586835,10.001
ERR3586836,3.033
ERR3586837,13.897
ERR3586838,6.302
ERR3586839,10.261
ERR3586840,4.905
ERR3586841,3.615
ERR3586842,5.122
ERR3586843,2.549
ERR3586844,2.493
ERR3586845,7.216
ERR3586846,4.084
ERR3586847,0
ERR3586848,22.045
ERR3586849,2.117
ERR3586850,8.335
ERR3586851,4.262
ERR3586852,16.535
ERR3586853,10.771
ERR3586854,14.948
ERR3586855,7.497
ERR3586856,11.883
ERR3586857,7.459
ERR3586858,0.373
ERR3586859,0.364
ERR3586860,0
ERR3586861,0
ERR3586862,0
ERR3586863,0.745
ERR3586864,0
ERR3586865,0
ERR3586866,0
ERR3586867,0
ERR3586868,0
ERR3586869,0
ERR3586870,0
ERR3586871,0
ERR3586872,0
ERR3586873,0
ERR3586890,1.494
ERR3586891,7.945
ERR3586892,1.141
ERR3586893,1.696
ERR3586894,11.233
ERR3586895,4.874
ERR3586896,3.836
ERR3586897,0.404
ERR3586898,1.945
ERR3586899,3.23
ERR3586900,4.49
ERR3586901,0
ERR3586902,1.457
ERR3586903,9.924
ERR3586904,2.496
ERR3586905,0
ERR3586906,2.65
ERR3586907,5.262
ERR3586908,7.929
ERR3586909,2.605
ERR3586910,2.715
ERR3586911,17.634
ERR3586912,11.295
ERR3586913,14.417
ERR3586914,13.567
ERR3586915,13.444
ERR3586916,9.388
ERR3586917,14.837
ERR3586918,13.966
ERR3586919,3.344
ERR3586920,6.107
ERR3586921,1.917
ERR3586922,3.168
ERR3586923,2.342
ERR3586924,3.149
ERR3586925,4.8
ERR3586926,3.356
ERR3586927,4.331
ERR3586928,1.867
ERR3586929,3.842
ERR3586930,3.894
ERR3586931,6.442
ERR3586932,8.743
ERR3586933,2.559
ERR3586934,4.647
ERR3586935,2.796
ERR3586936,0.841
ERR3586937,3.092
ERR3586938,4.23
ERR3586939,3.561
ERR3586940,10.847
ERR3586941,0
ERR3586942,0
ERR3586943,4.078
ERR3586944,0.378
ERR3586945,5.117
ERR3586946,1.376
ERR3586947,3.245
ERR3586948,6.848
ERR3586949,3.887
ERR3586950,48.374
ERR3586951,18.079
ERR3586952,10.39
ERR3586953,5.269
ERR3586954,4.343
ERR3586955,3.998
ERR3586956,5.9
ERR3586957,2.776
ERR3586958,4.504
ERR3586959,3.14
ERR3586960,3.788
ERR3586961,9.644
ERR3586962,5.835
ERR3586963,4.609
ERR3586967,0.074
ERR3586968,5.084
ERR3586969,10.771
ERR3586970,2.297
ERR3586971,3.184
ERR3586972,3.856
ERR3586973,1.589
ERR3586974,1.825
ERR3586975,4.247
ERR3586976,4.508
ERR3586977,5.937
ERR3586978,3.861
ERR3586979,6.303
ERR3586980,7.272
ERR3586981,4.581
ERR3586982,7.478
ERR3586983,2.854
ERR3586984,3.751
ERR3586985,1.609
ERR3586986,3.243
ERR3586987,0
ERR3586988,0.156
ERR3586989,7.392
ERR3586990,12.443
ERR3586991,12.441
ERR3586992,4.299
ERR3586993,0.468
ERR3586994,3.617
ERR3586995,2.964
ERR3586996,9.329
ERR3586997,7.121
ERR3586998,3.423
ERR3586999,44.202
ERR3587000,8.04
ERR3587001,9.559
ERR3587002,7.386
ERR3587003,6.112
ERR3587004,1.565
ERR3587005,4.866
ERR3587006,2.854
ERR3587007,5.479
ERR3587008,4.819
ERR3587009,0
ERR3587010,2.286
ERR3587011,14.82
ERR3587012,2.129
ERR3587013,6.527
ERR3587014,6.82
ERR3587015,6.124
ERR3587016,1.95
ERR3587017,0
ERR3587018,5.901
ERR3587019,1.864
