sample_id,sumTPM
ERR1001626,2.213
ERR1001627,0.834
ERR1328122,1.476
ERR1328123,1.148
ERR1328124,0.787
ERR1328125,0.872
ERR1336911,0.919
ERR1336912,0.696
ERR3562601,0
ERR3586677,0
ERR3586678,0.912
ERR3586679,1.619
ERR3586680,2.517
ERR3586681,0
ERR3586682,0.669
ERR3586683,1.603
ERR3586684,1.423
ERR3586685,2.849
ERR3586686,0.951
ERR3586687,5.17
ERR3586688,2.322
ERR3586689,2.648
ERR3586690,0.219
ERR3586691,3.432
ERR3586692,0
ERR3586693,1.716
ERR3586694,2.094
ERR3586695,3.401
ERR3586696,2.064
ERR3586697,2.234
ERR3586698,0.432
ERR3586699,1.084
ERR3586700,1.653
ERR3586701,1.973
ERR3586702,2.771
ERR3586703,3.859
ERR3586704,1.701
ERR3586705,3.291
ERR3586706,1.538
ERR3586707,1.788
ERR3586708,2.143
ERR3586709,1.989
ERR3586710,1.727
ERR3586711,6.199
ERR3586712,0
ERR3586713,0
ERR3586714,1.122
ERR3586715,3.85
ERR3586716,5.954
ERR3586717,0
ERR3586718,2.082
ERR3586719,3.806
ERR3586720,1.885
ERR3586721,3.605
ERR3586722,2.023
ERR3586723,2.014
ERR3586724,0.95
ERR3586725,3.54
ERR3586726,1.548
ERR3586727,2.662
ERR3586728,2.906
ERR3586729,1.391
ERR3586730,3.721
ERR3586731,1.721
ERR3586732,2.408
ERR3586733,0
ERR3586734,3.511
ERR3586735,0
ERR3586736,0.598
ERR3586737,1.319
ERR3586738,0.494
ERR3586739,1.972
ERR3586740,2.878
ERR3586741,0
ERR3586742,1.548
ERR3586743,4.594
ERR3586744,1.601
ERR3586745,1.015
ERR3586746,4.837
ERR3586747,0
ERR3586748,3.513
ERR3586749,2.844
ERR3586750,1.272
ERR3586751,3.659
ERR3586752,1.134
ERR3586753,1.718
ERR3586754,0.781
ERR3586755,1.308
ERR3586756,1.045
ERR3586757,1.995
ERR3586758,1.669
ERR3586759,0.527
ERR3586760,1.262
ERR3586761,1.931
ERR3586762,0.878
ERR3586763,1.046
ERR3586764,1.746
ERR3586765,1.901
ERR3586766,2.651
ERR3586767,1.616
ERR3586768,0.646
ERR3586769,1.007
ERR3586770,1.67
ERR3586771,0.81
ERR3586772,0
ERR3586773,0
ERR3586774,0
ERR3586775,0
ERR3586776,3.228
ERR3586777,2.187
ERR3586778,1.995
ERR3586779,1.384
ERR3586780,3.303
ERR3586781,3.034
ERR3586782,3.671
ERR3586783,3.096
ERR3586784,3.401
ERR3586785,0.268
ERR3586786,0
ERR3586787,0.241
ERR3586788,0
ERR3586789,1.931
ERR3586790,1.831
ERR3586791,2.903
ERR3586792,2.31
ERR3586793,2.963
ERR3586794,1.61
ERR3586795,2.706
ERR3586796,2.147
ERR3586797,4.324
ERR3586798,4.857
ERR3586799,4.852
ERR3586800,4.179
ERR3586801,2.572
ERR3586802,1.766
ERR3586803,1.849
ERR3586804,2.148
ERR3586805,2.732
ERR3586806,2.786
ERR3586807,3.212
ERR3586808,1.59
ERR3586809,1.924
ERR3586810,2.478
ERR3586811,2.437
ERR3586812,3.12
ERR3586813,2.585
ERR3586814,3.064
ERR3586815,3.84
ERR3586816,3.283
ERR3586817,2.506
ERR3586818,2.953
ERR3586819,1.812
ERR3586820,2.712
ERR3586821,1.619
ERR3586822,1.315
ERR3586823,1.695
ERR3586824,2.363
ERR3586825,1.727
ERR3586826,3.644
ERR3586827,1.909
ERR3586828,1.612
ERR3586829,0.204
ERR3586830,0.447
ERR3586831,1.696
ERR3586832,1.45
ERR3586834,1.272
ERR3586835,1.646
ERR3586836,1.804
ERR3586837,1.12
ERR3586838,1.743
ERR3586839,1.97
ERR3586840,2.507
ERR3586841,4.217
ERR3586842,2.838
ERR3586843,2.007
ERR3586844,1.675
ERR3586845,1.984
ERR3586846,0
ERR3586847,0.984
ERR3586848,0
ERR3586849,0
ERR3586850,2.667
ERR3586851,0.851
ERR3586852,1.148
ERR3586853,0
ERR3586854,1.201
ERR3586855,0.59
ERR3586856,0.58
ERR3586857,1.174
ERR3586858,2.445
ERR3586859,2.24
ERR3586860,1.348
ERR3586861,3.709
ERR3586862,3.162
ERR3586863,2.974
ERR3586864,2.344
ERR3586865,2.788
ERR3586866,0
ERR3586867,0
ERR3586868,0
ERR3586869,0
ERR3586870,0
ERR3586871,0
ERR3586872,0
ERR3586873,0
ERR3586890,1.285
ERR3586891,1.596
ERR3586892,1.424
ERR3586893,3.278
ERR3586894,0.999
ERR3586895,0.767
ERR3586896,1.552
ERR3586897,0
ERR3586898,0.911
ERR3586899,1.326
ERR3586900,4.939
ERR3586901,0.102
ERR3586902,1.925
ERR3586903,4.351
ERR3586904,0.875
ERR3586905,1.805
ERR3586906,1.859
ERR3586907,0
ERR3586908,0
ERR3586909,0
ERR3586910,0
ERR3586911,3.004
ERR3586912,2.652
ERR3586913,2.313
ERR3586914,2.334
ERR3586915,2.361
ERR3586916,3.925
ERR3586917,5.054
ERR3586918,2.84
ERR3586919,2.538
ERR3586920,2.755
ERR3586921,1.669
ERR3586922,2.325
ERR3586923,2.113
ERR3586924,2.56
ERR3586925,1.852
ERR3586926,3.015
ERR3586927,1.948
ERR3586928,2.248
ERR3586929,3.068
ERR3586930,0.833
ERR3586931,3.682
ERR3586932,1.745
ERR3586933,2.616
ERR3586934,4.419
ERR3586935,2.167
ERR3586936,1.699
ERR3586937,1.881
ERR3586938,2.534
ERR3586939,1.401
ERR3586940,2.766
ERR3586941,2.875
ERR3586942,0
ERR3586943,3.705
ERR3586944,2.67
ERR3586945,2.99
ERR3586946,4.56
ERR3586947,2.678
ERR3586948,1.888
ERR3586949,0.954
ERR3586950,0.305
ERR3586951,1.4
ERR3586952,0.978
ERR3586953,2.74
ERR3586954,1.764
ERR3586955,1.804
ERR3586956,2.433
ERR3586957,2.177
ERR3586958,2.663
ERR3586959,3.648
ERR3586960,0.586
ERR3586961,2.001
ERR3586962,0.488
ERR3586963,1.972
ERR3586967,0.142
ERR3586968,1.201
ERR3586969,2.483
ERR3586970,2.421
ERR3586971,2.646
ERR3586972,1.893
ERR3586973,2.82
ERR3586974,1.916
ERR3586975,3.436
ERR3586976,1.736
ERR3586977,1.667
ERR3586978,1.403
ERR3586979,2.307
ERR3586980,2.672
ERR3586981,1.362
ERR3586982,3.01
ERR3586983,2.118
ERR3586984,3.937
ERR3586985,1.019
ERR3586986,1.269
ERR3586987,5.285
ERR3586988,0
ERR3586989,2.602
ERR3586990,3.707
ERR3586991,2.6
ERR3586992,1.005
ERR3586993,1.935
ERR3586994,1.962
ERR3586995,2.022
ERR3586996,2.539
ERR3586997,1.959
ERR3586998,2.098
ERR3586999,0.93
ERR3587000,0.627
ERR3587001,2.454
ERR3587002,3.652
ERR3587003,1.416
ERR3587004,0.564
ERR3587005,1.892
ERR3587006,0.212
ERR3587007,1.367
ERR3587008,2.145
ERR3587009,0
ERR3587010,0.934
ERR3587011,1.757
ERR3587012,1.691
ERR3587013,1.879
ERR3587014,2.639
ERR3587015,1.058
ERR3587016,2.161
ERR3587017,0
ERR3587018,1.38
ERR3587019,5.166
ERR3587020,1.666
ERR3587021,3.389
ERR3587022,3.924
ERR3587023,1.064
ERR3587024,0.692
ERR3587025,0
ERR3587026,1.823
ERR3587027,1.673
ERR3587028,0
ERR3587029,0
ERR3587030,4.267
ERR3587031,1.936
ERR3587035,2.302
ERR3587037,1.297
ERR3587038,1.97
ERR3587039,2.455
ERR3587040,1.877
ERR3587041,1.774
ERR3587042,0.622
ERR3587043,2.367
ERR3587044,4.62
ERR3587045,0
ERR3587046,3.161
ERR3587047,2.083
ERR3587048,2.256
ERR3587049,4.629
ERR3587050,1.764
ERR3587051,1.678
ERR3587052,1.429
ERR3587053,1.089
ERR3587054,0.426
ERR3587055,1.191
ERR3587056,0.572
ERR3587057,3.19
ERR3587058,2.849
ERR3587059,2.474
ERR3587060,2.145
ERR3587061,1.644
ERR3587062,1.311
ERR3587063,2.334
ERR3587064,0.432
ERR3587065,2.237
ERR3587066,0.689
ERR3587067,0.377
ERR3587068,0.922
ERR3587069,0
ERR3587070,3.312
ERR3587071,4.222
ERR3587072,1.949
ERR3587073,1.544
ERR3587074,2.582
ERR3587075,2.718
ERR3587076,2.666
ERR3587077,3.594
ERR3587078,1.358
ERR3587079,1.019
ERR3587080,9.021
ERR3587081,0
ERR3587082,2.385
ERR3587083,2.66
ERR3587084,1.018
ERR3587085,1.628
ERR3587086,0.183
ERR3587087,2.113
ERR3587090,0.486
ERR3587091,0.713
ERR3587092,2.15
ERR3587093,2.813
ERR3587094,2.536
ERR3587095,2.974
ERR3587096,1.864
ERR3587097,4.636
ERR3587098,1.447
ERR3587099,1.861
ERR3587100,1.921
ERR3587101,2.057
ERR3587102,2.369
ERR3587103,1.284
ERR3587104,2.79
ERR3587105,5.111
ERR3587106,0.684
ERR3587107,0.35
ERR3587108,3.866
ERR3587109,0.131
ERR3587110,0.76
ERR3587111,1.005
ERR3587112,1.423
ERR3587113,0
ERR3587114,0.802
ERR3587115,0
ERR3587116,1.349
ERR3587117,1.061
ERR3587118,0.224
ERR3587119,2.768
ERR3587120,1.479
ERR3587121,0.679
ERR3587122,0
ERR3587123,1.711
ERR3587124,1.371
ERR3587125,0.569
ERR3587126,0
ERR3587127,0
ERR3587128,1.771
ERR3587129,0.531
ERR3587130,0.353
ERR3587131,1.413
ERR3587132,0
ERR3587133,1.741
ERR3587134,1.553
ERR3587135,1.612
ERR3587136,0.774
ERR3587137,0.984
ERR3587138,1.791
ERR3587139,0.185
ERR3587140,0.338
ERR3587141,0.841
ERR3587142,1.399
ERR3587143,1.025
ERR3587144,0.248
ERR3587145,0
ERR3587146,4.895
ERR3587147,0.968
ERR3587148,2.073
ERR3587149,1.494
ERR3587150,1.98
ERR3587151,0.31
ERR3587154,0.975
ERR3587155,4.434
ERR3587156,1.703
ERR3587157,0
ERR3587158,0.273
ERR3587159,0
ERR3587160,0
ERR3587161,0
ERR3587162,0
ERR3587163,0
ERR3587164,0
ERR3587165,1.681
ERR3587166,0
ERR3587167,1.37
ERR3587168,0.437
ERR3587169,1.243
ERR3587170,0
ERR3587171,1.192
ERR3587172,0
ERR3587173,1.614
ERR3587174,0
ERR3587175,1.341
ERR3587176,0
ERR3587177,0.39
ERR3587178,0.722
ERR3587179,1.81
ERR3587180,0
ERR3587181,3.984
ERR3587182,0.386
ERR3587183,0
ERR3587184,0
ERR3587185,0
ERR3587186,0
ERR3587187,1.503
ERR3587188,0.568
ERR3587189,0
ERR3587190,1.572
ERR3587191,2.397
ERR3587192,0.186
ERR3587193,1.014
ERR3587194,1.376
ERR3587195,1.05
ERR3587196,0.608
ERR3587197,2.58
ERR3587198,2.835
ERR3587199,2.602
ERR3587200,2.468
ERR3587201,0.573
ERR3587202,2.628
ERR3587203,3.055
ERR3587204,1.984
