sample_id,sumTPM
ERR1001626,2.947
ERR1001627,4.355
ERR1328122,2.932
ERR1328123,2.836
ERR1328124,1.935
ERR1328125,2.801
ERR1336911,2.609
ERR1336912,1.313
ERR3562601,15.077
ERR3586677,0
ERR3586678,1.745
ERR3586679,3.358
ERR3586680,3.775
ERR3586681,0
ERR3586682,2.278
ERR3586683,2.43
ERR3586684,3.518
ERR3586685,8.411
ERR3586686,1.46
ERR3586687,8.937
ERR3586688,5.154
ERR3586689,6.476
ERR3586690,0
ERR3586691,5.894
ERR3586692,0
ERR3586693,3.301
ERR3586694,4.38
ERR3586695,3.089
ERR3586696,3.878
ERR3586697,3.153
ERR3586698,2.561
ERR3586699,1.54
ERR3586700,4.79
ERR3586701,3.506
ERR3586702,5.958
ERR3586703,5.814
ERR3586704,10.256
ERR3586705,4.889
ERR3586706,3.484
ERR3586707,3.527
ERR3586708,5.302
ERR3586709,8.756
ERR3586710,2.04
ERR3586711,3.988
ERR3586712,0
ERR3586713,0
ERR3586714,2.284
ERR3586715,3.477
ERR3586716,4.282
ERR3586717,0
ERR3586718,2.751
ERR3586719,3.408
ERR3586720,5.3
ERR3586721,5.709
ERR3586722,9.651
ERR3586723,6.771
ERR3586724,3.638
ERR3586725,3.931
ERR3586726,3.549
ERR3586727,4.662
ERR3586728,8.04
ERR3586729,3.347
ERR3586730,5.597
ERR3586731,5.273
ERR3586732,10.732
ERR3586733,0
ERR3586734,6.101
ERR3586735,0
ERR3586736,2.865
ERR3586737,5.394
ERR3586738,1.703
ERR3586739,4.613
ERR3586740,6.767
ERR3586741,0
ERR3586742,3.513
ERR3586743,7.244
ERR3586744,3.845
ERR3586745,4.383
ERR3586746,10.157
ERR3586747,0
ERR3586748,4.076
ERR3586749,3.351
ERR3586750,3.335
ERR3586751,5.27
ERR3586752,3.81
ERR3586753,4.802
ERR3586754,3.495
ERR3586755,3.858
ERR3586756,4.143
ERR3586757,4.812
ERR3586758,2.878
ERR3586759,6.95
ERR3586760,2.268
ERR3586761,3.822
ERR3586762,4.414
ERR3586763,3.944
ERR3586764,5.922
ERR3586765,5.224
ERR3586766,5.274
ERR3586767,6.154
ERR3586768,3.928
ERR3586769,5.648
ERR3586770,7.133
ERR3586771,5.227
ERR3586772,0
ERR3586773,0
ERR3586774,0
ERR3586775,0
ERR3586776,12.515
ERR3586777,10.209
ERR3586778,11.002
ERR3586779,14.993
ERR3586780,3.453
ERR3586781,3.812
ERR3586782,3.938
ERR3586783,5.076
ERR3586784,4.793
ERR3586785,0
ERR3586786,0
ERR3586787,0.221
ERR3586788,0.23
ERR3586789,5.508
ERR3586790,3.693
ERR3586791,5.318
ERR3586792,4.613
ERR3586793,4.845
ERR3586794,4.846
ERR3586795,4.221
ERR3586796,4.475
ERR3586797,6.833
ERR3586798,7.559
ERR3586799,6.8
ERR3586800,8.305
ERR3586801,5.909
ERR3586802,5.309
ERR3586803,2.804
ERR3586804,5.738
ERR3586805,10.009
ERR3586806,11.42
ERR3586807,10.035
ERR3586808,10.249
ERR3586809,4.437
ERR3586810,7.166
ERR3586811,7.525
ERR3586812,7.122
ERR3586813,8.184
ERR3586814,7.585
ERR3586815,6.477
ERR3586816,8.562
ERR3586817,5.893
ERR3586818,5.19
ERR3586819,6.191
ERR3586820,4.818
ERR3586821,4.448
ERR3586822,4.861
ERR3586823,4.055
ERR3586824,3.025
ERR3586825,3.003
ERR3586826,2.412
ERR3586827,1.957
ERR3586828,3.15
ERR3586829,1.215
ERR3586830,2.76
ERR3586831,3.792
ERR3586832,5.238
ERR3586834,4.184
ERR3586835,3.093
ERR3586836,3.085
ERR3586837,3.429
ERR3586838,3.048
ERR3586839,3.286
ERR3586840,7.131
ERR3586841,4.089
ERR3586842,7.184
ERR3586843,6.807
ERR3586844,5.044
ERR3586845,8.834
ERR3586846,0.777
ERR3586847,0
ERR3586848,1.698
ERR3586849,3.302
ERR3586850,0
ERR3586851,0.835
ERR3586852,3.171
ERR3586853,4.863
ERR3586854,5.237
ERR3586855,4.737
ERR3586856,6.113
ERR3586857,6.686
ERR3586858,3.139
ERR3586859,4.308
ERR3586860,4.006
ERR3586861,3.206
ERR3586862,2.705
ERR3586863,2.107
ERR3586864,2.493
ERR3586865,3.462
ERR3586866,2.737
ERR3586867,1.551
ERR3586868,1.509
ERR3586869,0.957
ERR3586870,0.942
ERR3586871,0.971
ERR3586872,0.509
ERR3586873,0.744
ERR3586890,5.978
ERR3586891,5.521
ERR3586892,4.993
ERR3586893,13.066
ERR3586894,3.36
ERR3586895,6.756
ERR3586896,5.203
ERR3586897,0.986
ERR3586898,4.831
ERR3586899,2.44
ERR3586900,4.694
ERR3586901,1.796
ERR3586902,3.565
ERR3586903,5.043
ERR3586904,5.793
ERR3586905,3.759
ERR3586906,3.114
ERR3586907,3.717
ERR3586908,2.294
ERR3586909,0.772
ERR3586910,0.805
ERR3586911,5.846
ERR3586912,6.112
ERR3586913,7.385
ERR3586914,5.929
ERR3586915,6.249
ERR3586916,8.497
ERR3586917,8.143
ERR3586918,6.632
ERR3586919,3.791
ERR3586920,5.354
ERR3586921,3.503
ERR3586922,4.915
ERR3586923,3.75
ERR3586924,5.612
ERR3586925,4.28
ERR3586926,6.088
ERR3586927,4.637
ERR3586928,3.664
ERR3586929,3.873
ERR3586930,4.85
ERR3586931,4.927
ERR3586932,4.754
ERR3586933,4.921
ERR3586934,5.945
ERR3586935,4.13
ERR3586936,2.69
ERR3586937,3.245
ERR3586938,1.999
ERR3586939,2.134
ERR3586940,6.707
ERR3586941,1.309
ERR3586942,0
ERR3586943,4.926
ERR3586944,3.765
ERR3586945,5.54
ERR3586946,5.744
ERR3586947,7.993
ERR3586948,6.46
ERR3586949,4.771
ERR3586950,10.324
ERR3586951,8.893
ERR3586952,7.37
ERR3586953,8.6
ERR3586954,4.481
ERR3586955,5.686
ERR3586956,8.05
ERR3586957,7.991
ERR3586958,3.759
ERR3586959,6.274
ERR3586960,3.029
ERR3586961,5.409
ERR3586962,2.28
ERR3586963,5.521
ERR3586967,21.338
ERR3586968,4.315
ERR3586969,3.424
ERR3586970,3.285
ERR3586971,1.844
ERR3586972,3.6
ERR3586973,4.322
ERR3586974,3.705
ERR3586975,4.575
ERR3586976,3.648
ERR3586977,4.558
ERR3586978,4.843
ERR3586979,3.96
ERR3586980,6.254
ERR3586981,2.958
ERR3586982,5.731
ERR3586983,3.84
ERR3586984,4.749
ERR3586985,3.948
ERR3586986,5.493
ERR3586987,2.425
ERR3586988,4.294
ERR3586989,4.187
ERR3586990,5.451
ERR3586991,4.685
ERR3586992,3.887
ERR3586993,3.874
ERR3586994,3.04
ERR3586995,3.298
ERR3586996,7.249
ERR3586997,5.742
ERR3586998,5.66
ERR3586999,9.138
ERR3587000,8.737
ERR3587001,5.966
ERR3587002,5.806
ERR3587003,4.313
ERR3587004,4.72
ERR3587005,3.746
ERR3587006,1.455
ERR3587007,8.406
ERR3587008,3.992
ERR3587009,0
ERR3587010,3.363
ERR3587011,6.587
ERR3587012,4.146
ERR3587013,4.4
ERR3587014,3.132
ERR3587015,3.194
ERR3587016,3.008
ERR3587017,1.15
ERR3587018,3.363
ERR3587019,10.06
ERR3587020,4.066
ERR3587021,5.301
ERR3587022,3.861
ERR3587023,4.049
ERR3587024,4.353
ERR3587025,0
ERR3587026,3.96
ERR3587027,11.197
ERR3587028,0
ERR3587029,0
ERR3587030,7.197
ERR3587031,3.418
ERR3587035,3.798
ERR3587037,3.185
ERR3587038,2.983
ERR3587039,2.098
ERR3587040,3.379
ERR3587041,0.908
ERR3587042,2.785
ERR3587043,4.879
ERR3587044,1.045
ERR3587045,0
ERR3587046,4.047
ERR3587047,2.473
ERR3587048,5.648
ERR3587049,4.86
ERR3587050,6.214
ERR3587051,6.163
ERR3587052,6.546
ERR3587053,7.285
ERR3587054,12.578
ERR3587055,7.011
ERR3587056,6.292
ERR3587057,9.12
ERR3587058,6.68
ERR3587059,5.458
ERR3587060,7.661
ERR3587061,8.697
ERR3587062,6.608
ERR3587063,4.967
ERR3587064,5.648
ERR3587065,8.147
ERR3587066,1.869
ERR3587067,4.732
ERR3587068,5.525
ERR3587069,0
ERR3587070,4.726
ERR3587071,3.735
ERR3587072,4.981
ERR3587073,10.774
ERR3587074,6.119
ERR3587075,6.201
ERR3587076,5.046
ERR3587077,3.178
ERR3587078,2.994
ERR3587079,4.966
ERR3587080,2.759
ERR3587081,3.114
ERR3587082,4.24
ERR3587083,5.923
ERR3587084,5.518
ERR3587085,4.076
ERR3587086,3.108
ERR3587087,4.987
ERR3587090,24.058
ERR3587091,4.459
ERR3587092,6.514
ERR3587093,2.879
ERR3587094,1.067
ERR3587095,4.664
ERR3587096,2.594
ERR3587097,3.649
ERR3587098,2.874
ERR3587099,3.986
ERR3587100,4.6
ERR3587101,4.478
ERR3587102,6.77
ERR3587103,3.39
ERR3587104,4.939
ERR3587105,3.012
ERR3587106,4.129
ERR3587107,1.167
ERR3587108,3.826
ERR3587109,0.39
ERR3587110,1.865
ERR3587111,2.525
ERR3587112,5.182
ERR3587113,0
ERR3587114,3.476
ERR3587115,0
ERR3587116,4.37
ERR3587117,4.081
ERR3587118,0.923
ERR3587119,3.224
ERR3587120,4.049
ERR3587121,3.015
ERR3587122,0
ERR3587123,5.522
ERR3587124,3.018
ERR3587125,2.78
ERR3587126,0
ERR3587127,0
ERR3587128,3.977
ERR3587129,0.878
ERR3587130,1.622
ERR3587131,2.339
ERR3587132,0
ERR3587133,2.542
ERR3587134,3.91
ERR3587135,3.702
ERR3587136,1.785
