sample_id,sumTPM
ERR1001626,0.696
ERR1001627,1.053
ERR1328122,0.663
ERR1328123,4.989
ERR1328124,4.53
ERR1328125,0.567
ERR1336911,1.546
ERR1336912,1.153
ERR3562601,0
ERR3586677,0
ERR3586678,0.377
ERR3586679,1.542
ERR3586680,2.167
ERR3586681,0
ERR3586682,0.32
ERR3586683,0.518
ERR3586684,0.919
ERR3586685,2.955
ERR3586686,0.272
ERR3586687,2.432
ERR3586688,2.554
ERR3586689,2.094
ERR3586690,0.229
ERR3586691,2.426
ERR3586692,0
ERR3586693,0.531
ERR3586694,0.941
ERR3586695,0.636
ERR3586696,0.765
ERR3586697,1.954
ERR3586698,1.177
ERR3586699,1.24
ERR3586700,0.864
ERR3586701,0.513
ERR3586702,2.192
ERR3586703,1.077
ERR3586704,3.152
ERR3586705,0.76
ERR3586706,2.28
ERR3586707,4.087
ERR3586708,1.473
ERR3586709,1.556
ERR3586710,0.888
ERR3586711,0.849
ERR3586712,0
ERR3586713,0
ERR3586714,0.208
ERR3586715,1.276
ERR3586716,0
ERR3586717,0
ERR3586718,0.889
ERR3586719,1.686
ERR3586720,1.865
ERR3586721,2.804
ERR3586722,2.665
ERR3586723,0
ERR3586724,3.325
ERR3586725,4.072
ERR3586726,2.301
ERR3586727,1.233
ERR3586728,3.706
ERR3586729,2.354
ERR3586730,1.21
ERR3586731,1.785
ERR3586732,1.244
ERR3586733,0
ERR3586734,1.815
ERR3586735,0
ERR3586736,0
ERR3586737,1.557
ERR3586738,0.624
ERR3586739,0.752
ERR3586740,2.477
ERR3586741,0
ERR3586742,0.295
ERR3586743,1.7
ERR3586744,1.259
ERR3586745,2.563
ERR3586746,1.857
ERR3586747,0
ERR3586748,0.687
ERR3586749,2.63
ERR3586750,0.471
ERR3586751,1.925
ERR3586752,1.019
ERR3586753,1.907
ERR3586754,1.707
ERR3586755,1.645
ERR3586756,0.33
ERR3586757,0.68
ERR3586758,0
ERR3586759,0.499
ERR3586760,1.766
ERR3586761,1.519
ERR3586762,1.225
ERR3586763,1.796
ERR3586764,0.784
ERR3586765,0.812
ERR3586766,1.017
ERR3586767,0.995
ERR3586768,0.815
ERR3586769,1.433
ERR3586770,0.827
ERR3586771,1.022
ERR3586772,0
ERR3586773,0
ERR3586774,0
ERR3586775,0
ERR3586776,2.425
ERR3586777,5.196
ERR3586778,3.136
ERR3586779,2.176
ERR3586780,0
ERR3586781,0.357
ERR3586782,0.182
ERR3586783,0.36
ERR3586784,0.896
ERR3586785,0
ERR3586786,0
ERR3586787,0
ERR3586788,0
ERR3586789,1.64
ERR3586790,2.371
ERR3586791,3.384
ERR3586792,2.504
ERR3586793,2.771
ERR3586794,4.807
ERR3586795,3.096
ERR3586796,3.653
ERR3586797,1.264
ERR3586798,0.63
ERR3586799,2.27
ERR3586800,1.621
ERR3586801,1.215
ERR3586802,0.556
ERR3586803,1.386
ERR3586804,1.094
ERR3586805,3.127
ERR3586806,1.11
ERR3586807,1.759
ERR3586808,1.778
ERR3586809,2.53
ERR3586810,2.6
ERR3586811,1.478
ERR3586812,1.481
ERR3586813,1.332
ERR3586814,1.472
ERR3586815,0.906
ERR3586816,1.554
ERR3586817,1.68
ERR3586818,1.674
ERR3586819,2.482
ERR3586820,2.511
ERR3586821,0.555
ERR3586822,1.287
ERR3586823,0.543
ERR3586824,1.285
ERR3586825,0
ERR3586826,0.706
ERR3586827,2.118
ERR3586828,0.634
ERR3586829,0
ERR3586830,0.468
ERR3586831,0.464
ERR3586832,0.468
ERR3586834,1.071
ERR3586835,2.337
ERR3586836,1.707
ERR3586837,2.261
ERR3586838,1.925
ERR3586839,2.209
ERR3586840,1.8
ERR3586841,1.327
ERR3586842,0.94
ERR3586843,0.936
ERR3586844,1.374
ERR3586845,1.386
ERR3586846,2.058
ERR3586847,1.03
ERR3586848,1.071
ERR3586849,2.133
ERR3586850,1.05
ERR3586851,0
ERR3586852,1.803
ERR3586853,1.176
ERR3586854,0.629
ERR3586855,1.236
ERR3586856,1.214
ERR3586857,0.614
ERR3586858,2.444
ERR3586859,2.568
ERR3586860,3.213
ERR3586861,2.707
ERR3586862,2.088
ERR3586863,3.002
ERR3586864,3.512
ERR3586865,2.483
ERR3586866,0
ERR3586867,0
ERR3586868,0.623
ERR3586869,0
ERR3586870,0
ERR3586871,0
ERR3586872,0
ERR3586873,0
ERR3586890,2.922
ERR3586891,1.684
ERR3586892,2.116
ERR3586893,0
ERR3586894,0.17
ERR3586895,1.383
ERR3586896,0.751
ERR3586897,0
ERR3586898,1.63
ERR3586899,1.249
ERR3586900,1.93
ERR3586901,0
ERR3586902,1.189
ERR3586903,0.911
ERR3586904,0
ERR3586905,0.945
ERR3586906,1.946
ERR3586907,0
ERR3586908,2.911
ERR3586909,0
ERR3586910,0.997
ERR3586911,2.82
ERR3586912,1.412
ERR3586913,1.746
ERR3586914,2.057
ERR3586915,1.746
ERR3586916,3.234
ERR3586917,2.624
ERR3586918,2.116
ERR3586919,1.286
ERR3586920,1.109
ERR3586921,1.337
ERR3586922,2.342
ERR3586923,0.965
ERR3586924,1.358
ERR3586925,2.101
ERR3586926,1.187
ERR3586927,0.909
ERR3586928,2.742
ERR3586929,2.352
ERR3586930,0.477
ERR3586931,0.946
ERR3586932,2.862
ERR3586933,1.41
ERR3586934,1.463
ERR3586935,0.136
ERR3586936,1.357
ERR3586937,1.81
ERR3586938,1.092
ERR3586939,0
ERR3586940,2.134
ERR3586941,2.602
ERR3586942,0
ERR3586943,5.307
ERR3586944,1.804
ERR3586945,1.449
ERR3586946,1.66
ERR3586947,0.252
ERR3586948,2.494
ERR3586949,2.821
ERR3586950,1.518
ERR3586951,1.562
ERR3586952,0.992
ERR3586953,1.216
ERR3586954,1.29
ERR3586955,5.889
ERR3586956,1.878
ERR3586957,2.047
ERR3586958,2.103
ERR3586959,1.534
ERR3586960,3.863
ERR3586961,1.966
ERR3586962,0.067
ERR3586963,0.572
ERR3586967,2.89
ERR3586968,1.382
ERR3586969,1.549
ERR3586970,1.73
ERR3586971,0.635
ERR3586972,1.553
ERR3586973,0.765
ERR3586974,1.134
ERR3586975,1.189
ERR3586976,1.004
ERR3586977,1.74
ERR3586978,2.376
ERR3586979,0.928
ERR3586980,1.386
ERR3586981,2.56
ERR3586982,2.866
ERR3586983,1.612
ERR3586984,1.005
ERR3586985,0.709
ERR3586986,1.117
ERR3586987,0
ERR3586988,0.402
ERR3586989,2.052
ERR3586990,8.06
ERR3586991,1.992
ERR3586992,0.526
ERR3586993,1.204
ERR3586994,0.93
ERR3586995,1.742
ERR3586996,3.588
ERR3586997,1.139
ERR3586998,3.129
ERR3586999,1.72
ERR3587000,0.464
ERR3587001,1.807
ERR3587002,0.876
ERR3587003,0.913
ERR3587004,2.31
ERR3587005,3.376
ERR3587006,4.015
ERR3587007,1.15
ERR3587008,1.287
ERR3587009,0
ERR3587010,1.049
ERR3587011,0.369
ERR3587012,1.563
ERR3587013,0.43
ERR3587014,2.911
ERR3587015,2.863
ERR3587016,0.358
ERR3587017,1.478
ERR3587018,1.444
ERR3587019,0.396
ERR3587020,0.581
ERR3587021,1.757
ERR3587022,0.937
ERR3587023,2.362
ERR3587024,0.624
ERR3587025,0
ERR3587026,1.073
ERR3587027,4.786
ERR3587028,0
ERR3587029,0
ERR3587030,0.398
ERR3587031,0.249
ERR3587035,0.353
ERR3587037,1.484
ERR3587038,1.934
ERR3587039,1.95
ERR3587040,1.989
ERR3587041,1.24
ERR3587042,0
ERR3587043,1.398
ERR3587044,4.398
ERR3587045,0
ERR3587046,4.49
ERR3587047,0.684
ERR3587048,0.86
ERR3587049,1.803
ERR3587050,0
ERR3587051,2.64
ERR3587052,1.636
ERR3587053,3.304
ERR3587054,2.228
ERR3587055,1.503
ERR3587056,0.982
ERR3587057,2.48
ERR3587058,0
ERR3587059,4.981
ERR3587060,3.481
ERR3587061,2.549
ERR3587062,2.328
ERR3587063,1.146
ERR3587064,1.906
ERR3587065,0
ERR3587066,0
ERR3587067,0.197
ERR3587068,0.772
ERR3587069,0
ERR3587070,1.002
ERR3587071,0
ERR3587072,1.384
ERR3587073,2.43
ERR3587074,2.207
ERR3587075,1.637
ERR3587076,1.644
ERR3587077,1.986
ERR3587078,0.372
ERR3587079,1.067
ERR3587080,0
ERR3587081,0.16
ERR3587082,2
ERR3587083,5.804
ERR3587084,1.26
ERR3587085,2.247
ERR3587086,0.461
ERR3587087,1.744
ERR3587090,2.716
ERR3587091,1.544
ERR3587092,1.398
ERR3587093,1.306
ERR3587094,0.155
ERR3587095,1.276
ERR3587096,0.478
ERR3587097,2.244
ERR3587098,0.868
ERR3587099,1.278
ERR3587100,2.983
ERR3587101,1.617
ERR3587102,1.346
ERR3587103,1.947
ERR3587104,0.966
ERR3587105,0.892
ERR3587106,0.799
ERR3587107,1.134
