genome	Subclade	Family	Genus	Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source
AG-918-L21	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-916-M15	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-917-I17	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-918-K09	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-390-I15	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
SAG-MED22	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-891-J07	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-899-J02	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-894-B07	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-447-N18	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-919-L02	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1437	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	aumakalihii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-917-K06	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1863	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-287-G05	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-321-M13	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-321-D17	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB2104	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB2200	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-918-G06	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB2215	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-919-C02	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB2204	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-891-C15	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-896-K10	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-903-F09	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-903-O08	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1402	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1838	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1835	Ia.4.II	Pelagibacteraceae	Lacunipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1483	Ia.4.N1	Pelagibacteraceae	Alipelagibacter	loemeaikii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-359-D09	Ia.4.N4	Pelagibacteraceae	Punctipelagibacter	variabilis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AH-321-L23	Ia.4.N4	Pelagibacteraceae	Punctipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-321-P04	Ia.4.N4	Pelagibacteraceae	Punctipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-337-D17	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-897-G15	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
RS39	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-447-F10	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-907-C04	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-896-L20	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-916-A16	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-899-J23	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1436	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	marisrubii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-909-G08	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-447-P22	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-426-D09	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-910-B05	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-894-K14	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB2226	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-919-O02	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-287-J18	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB2187	Ia.4.N5	Pelagibacteraceae	Tantillipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-895-K10	Ia.4.N6	Pelagibacteraceae	Colligatipelagibacter	wilhelmii	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-899-M07	Ia.4.N6	Pelagibacteraceae	Colligatipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-905-A07	Ia.4.N6	Pelagibacteraceae	Colligatipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-919-F03	Ia.4.N6	Pelagibacteraceae	Colligatipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-899-B09	Ib.1	Pelagibacteraceae	Superipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-917-E05	Ib.1	Pelagibacteraceae	Superipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-918-G15	Ib.1	Pelagibacteraceae	Superipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
RS40	Ib.1	Pelagibacteraceae	Superipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-287-O09	Ib.1	Pelagibacteraceae	Superipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB2305	Ib.1	Pelagibacteraceae	Superipelagibacter	microcenae	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-337-D16	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-900-I13	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-918-G22	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-892-F15	Ib.1.III	Pelagibacteraceae	Copipelagibacter	splendidus	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-894-F15	Ib.1.III	Pelagibacteraceae	Copipelagibacter	splendidus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-893-J08	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-893-M22	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-900-G16	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-900-I19	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-359-G17	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-426-M19	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-894-B06	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-903-C11	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-897-O16	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-918-E02	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-893-N07	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-898-G21	Ib.1.III	Pelagibacteraceae	Copipelagibacter	splendidus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-909-F14	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-912-I02	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-359-O11	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-915-G14	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-916-E19	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-359-B05	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-892-B11	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-894-E10	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-908-L09	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-917-D14	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-892-J03	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-899-A06	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-918-K13	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-897-G09	Ib.1.III	Pelagibacteraceae	Copipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-907-F09	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-337-G04	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-461-L09	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-894-L17	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-414-O09	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-893-L07	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-904-K03	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-916-O20	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-901-I06	Ib.2.I	Pelagibacteraceae	Stellipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-337-C19	Ib.N10	Pelagibacteraceae	Fusipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-893-L13	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-899-M19	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-917-F16	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-905-M05	Ib.N10	Pelagibacteraceae	Fusipelagibacter	tranquillus	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-426-F15	Ib.N7	Pelagibacteraceae	Parvipelagibacter	dignotus	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-903-L07	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-905-O08	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-916-G09	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-918-B06	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-915-G13	Ib.2.N7	Pelagibacteraceae	Parvipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-426-E17	Ib.4.I	Pelagibacteraceae	Extensipelagibacter	unicus	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-916-A21	Ib.4.I	Pelagibacteraceae	Extensipelagibacter	unicus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-325-E08	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-390-D15	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
SAG-MED11	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-916-G19	Ia.4.N2	Pelagibacteraceae	Pantolocipelagibacter	undulae	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-893-F11	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	oceanicus	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-892-K05	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-912-C08	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-900-K21	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-908-F20	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-894-L13	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-895-J19	Ia.4.N3	Pelagibacteraceae	Proventipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-461-M18	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-893-K09	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	bermudensis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-901-I21	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	bermudensis	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-917-M15	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-917-B07	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-920-L19	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AH-324-B10	Ib.4.N8	Pelagibacteraceae	Medipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-430-F16	Ib.4.N9	Pelagibacteraceae	Amplipelagibacter	globalis	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-907-E04	Ib.2.N9	Pelagibacteraceae	Amplipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-914-A09	Ib.2.N9	Pelagibacteraceae	Amplipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-916-O13	Ib.2.N9	Pelagibacteraceae	Amplipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-903-K07	Ib.2.N9	Pelagibacteraceae	Amplipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-349-I05	Ib.N11	Pelagibacteraceae	Rubripelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-430-I18	Ib.N11	Pelagibacteraceae	Rubripelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-911-N14	Ib.N11	Pelagibacteraceae	Rubripelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-414-E02	Ic	Mesopelagibacteraceae	Mesopelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-343-E17	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-414-B15	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-426-O05	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-426-I15	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-430-F03	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-325-E20	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-920-L07	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-422-L15	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-912-D10	IIa.A	Cosmipelagibacteraceae	Anoxypelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-313-A04	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-918-N23	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB058	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	regressus	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains
AG-422-F15	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-453-G04	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
AG-891-O15	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
