genome	Clade1	original_Subclade	harmonized_Subclade	original_Family	harmonized_Family	original_Genus	harmonized_Genus	original_Species	harmonized_Species	subclade_changed	family_changed	genus_changed	species_changed
HTCC8051	I	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Pelagibacteraceae	Proprepelagibacter	Accedentipelagibacter	yaqonii	yaqonii	FALSE	FALSE	TRUE	FALSE
HTCC9022	I	Ia.3.IV	Ia.3.IV	Pelagibacteraceae	Pelagibacteraceae	Proprepelagibacter	Accedentipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
SAG-MED49	I	Ia.3.IV	NA	Pelagibacteraceae	Pelagibacteraceae	Proprepelagibacter	NA	NA	NA	TRUE	FALSE	TRUE	FALSE
AAA795-A20	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	aumoanae	FALSE	FALSE	TRUE	TRUE
AG-333-A04	I	Ia.3.V	NA	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	NA	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-447-M10	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AH-324-N03	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AH-287-B07	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AH-324-F03	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AH-287-E17	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AH-321-A17	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AH-324-J07	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-349-L17	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-422-G03	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-912-L11	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
HIMB1456	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-422-C20	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-447-P03	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-917-J06	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-447-E19	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-913-F03	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-896-O18	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-894-P23	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-422-D23	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-895-F17	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-891-I18	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-894-O09	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-916-N14	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-447-L10	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
HIMB2201	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-920-D05	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-349-O05	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-390-G23	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
HIMB123	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-447-C08	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-892-A22	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-410-O02	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
HIMB1444	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-422-E09	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-891-A05	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-913-L03	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-914-B14	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-426-M05	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
HIMB2304	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
AG-908-C18	I	Ia.3.V	Ia.3.V	Pelagibacteraceae	Pelagibacteraceae	Xanthipelagibacter	Xanthinipelagibacter	NA	NA	FALSE	FALSE	TRUE	FALSE
