marker_tree	mesopelagibacteraceae_genomes	cosmipelagibacteraceae_genomes	combined_crown_genomes	combined_crown_families	sister_lineages	combined_crown_node	node_label	ufboot
bac120 IQ-TREE 2	3	52	55	Cosmipelagibacteraceae;Mesopelagibacteraceae	TRUE	697	96.4/100	100
SAR11_165 IQ-TREE 2	3	52	55	Cosmipelagibacteraceae;Mesopelagibacteraceae	TRUE	692	100/100	100
