genome_type	family	genus	subclade	annotation_combination	length_bin_start	length_bin_end	n_proteins
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	350	375	6
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	375	400	12
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	400	425	13
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	425	450	6
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	450	475	4
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	475	500	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	525	550	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	550	575	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	575	600	4
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	600	625	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	675	700	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	700	725	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	775	800	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	800	825	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	875	900	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	1025	1050	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG + Pfam	1725	1750	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	75	100	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	100	125	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	125	150	6
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	150	175	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	175	200	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	200	225	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	250	275	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	325	350	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	350	375	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	375	400	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	400	425	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	600	625	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	700	725	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	COG only	825	850	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	KO + Pfam	50	75	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	KO + Pfam	75	100	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	KO + Pfam	125	150	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	KO + Pfam	150	175	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	KO + Pfam	200	225	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	KO + Pfam	250	275	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	KO + Pfam	275	300	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	KO + Pfam	300	325	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	25	50	7
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	50	75	23
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	75	100	9
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	100	125	15
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	125	150	8
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	150	175	9
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	175	200	5
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	200	225	4
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	225	250	4
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	250	275	6
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	275	300	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	325	350	4
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	375	400	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	450	475	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	475	500	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	575	600	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	No annotation	1125	1150	1
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	50	75	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	75	100	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	100	125	3
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	125	150	7
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	150	175	4
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	200	225	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	225	250	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	250	275	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	275	300	2
Isolate	Cosmipelagibacteraceae	Cosmipelagibacter	IIa.B	Pfam only	300	325	2
