33	61	1
33	121	1
33	471	3
33	754	1
33	763	1
33	766	1
33	868	1
33	1140	1
33	1229	3
33	1303	1
33	1512	1
33	1832	1
33	1975	3
33	2195	1
35	193	3
35	240	4
35	1261	4
35	1462	1
35	1873	4
40	1493	3
40	1512	1
40	1761	1
40	1777	1
40	1985	1
42	72	3
42	113	2
42	160	1
42	280	1
42	467	1
42	585	1
42	597	4
42	634	2
42	791	3
42	1128	1
42	1314	3
42	1483	1
42	1493	1
42	1512	1
42	1777	1
42	1848	2
45	238	2
45	576	7
45	622	1
45	963	1
45	1426	2
45	1430	2
45	1493	1
45	1586	2
45	1691	1
45	1745	2
45	1866	1
45	1882	1
45	2090	2
45	2253	1
48	273	1
48	467	2
48	1357	1
60	61	1
60	1096	3
60	1140	2
60	1512	3
60	1765	2
61	471	1
61	745	1
61	883	1
61	995	1
61	1096	1
61	1140	3
61	1229	1
61	1512	2
61	1765	1
61	1975	1
64	160	2
64	510	3
64	1174	1
64	1201	1
64	1237	1
64	1798	2
64	1926	1
64	1984	4
64	2109	2
64	2230	2
71	580	1
71	612	1
71	1576	1
72	467	1
72	634	1
72	791	3
72	1314	2
80	274	2
80	369	1
80	732	2
80	817	2
80	1311	1
111	456	3
111	609	3
111	1758	3
111	2075	1
113	597	2
113	634	1
113	1430	1
113	1483	2
113	1493	1
113	1512	1
113	1848	2
121	471	2
121	766	2
121	868	1
121	1229	1
121	1896	1
121	1975	1
123	273	1
123	321	1
123	615	3
123	1103	2
123	1371	2
123	1389	2
123	1576	1
123	1769	1
123	1771	2
123	1787	3
123	1927	1
123	1979	1
123	2078	2
137	173	1
137	319	4
137	424	1
137	462	2
137	766	2
137	905	1
137	1125	1
137	1593	1
137	1882	1
160	280	1
160	489	1
160	585	1
160	1119	1
160	1128	1
160	1174	1
160	1201	2
160	1237	2
160	1798	3
160	1926	1
160	1984	1
160	2109	3
160	2230	1
173	274	1
173	319	2
173	424	1
173	462	2
173	504	1
173	732	1
173	817	1
173	1071	1
179	1010	1
179	1403	3
193	240	3
193	273	1
193	615	2
193	1111	1
193	1125	1
193	1261	3
193	1462	1
193	1873	4
193	1978	1
214	615	2
214	946	1
214	1257	3
214	1696	2
214	1769	1
214	1927	1
220	609	4
220	1758	5
220	2075	1
224	498	2
224	1019	3
224	1206	2
229	284	2
229	428	2
229	580	3
229	659	1
229	754	1
229	763	2
229	1027	3
229	1434	3
229	1696	1
229	1720	3
229	2081	2
229	2085	1
238	576	3
238	1426	3
238	1745	3
238	2090	2
238	2233	1
240	1261	4
240	1462	2
240	1873	5
249	424	1
249	1659	2
249	1841	2
257	297	1
257	859	1
257	2022	1
257	2213	1
264	357	2
264	940	2
265	271	3
265	615	3
265	1873	1
265	1896	2
265	2233	1
271	615	8
271	794	2
271	1011	1
271	1103	2
271	1371	2
271	1389	1
271	1576	2
271	1769	2
271	1771	2
271	1796	1
271	1873	1
271	1896	5
271	2233	1
273	348	1
273	397	1
273	615	5
273	1103	1
273	1111	1
273	1125	1
273	1311	2
273	1357	5
273	1371	1
273	1389	1
273	1462	2
273	1576	1
273	1771	1
273	1787	1
273	1924	2
273	1978	2
273	1979	2
273	2078	1
274	319	1
274	462	1
274	732	3
274	817	3
274	1311	1
280	283	1
280	585	2
280	634	1
280	1036	1
280	1128	2
280	1303	1
