id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
1311	"morris, rm"	-0.0595	-0.678	1	10	12	6	2013.5
1314	"morán, xag"	0.7376	-0.4621	3	10	14	4	2018
1317	"mou, x"	0.2454	-0.0482	8	6	10	4	2010.75
1335	"murrell, jc"	-0.4665	0.3688	2	9	12	5	2015
1355	"needham, dm"	-0.4022	-0.2516	7	6	12	6	2018.3333
1357	"nelson, ce"	-0.062	-0.7607	6	6	10	5	2014
1369	"ngugi, dk"	-0.2232	-0.395	6	2	5	4	2015
1371	"nicora, cd"	-0.7355	-0.666	11	20	53	7	2012.5714
1383	"noell, se"	-1.0059	-0.3901	13	8	12	4	2020.5
1389	"norbeck, ad"	-0.5875	-0.792	11	13	27	4	2010.75
1403	"obernosterer, i"	0.3407	0.4097	4	7	17	9	2016
1409	"oh, hm"	0.3155	-0.9348	14	2	4	4	2016.25
1426	"orellana, lh"	1.0751	0.4025	10	6	15	4	2023.75
1430	"orlić, s"	1.0444	0.1022	10	7	9	4	2015.5
1434	"ostrowski, m"	-0.0092	0.3229	7	8	11	4	2017.5
1462	"parsons, rj"	-0.4975	-0.7813	6	10	15	5	2018.8
1483	"pedrós-alió, c"	0.864	-0.0376	3	11	13	4	2010
1493	"pernthaler, j"	0.7779	0.075	3	17	22	8	2009.25
1512	"pinhassi, j"	0.6039	-0.0965	4	22	39	10	2015.3
1515	"pitta, p"	0.8286	-0.1012	3	7	10	3	2017
1544	"preston, cm"	-0.0041	0.2086	8	7	9	3	2013
1553	"qin, f"	-0.6007	0.6827	2	11	28	5	2020.4
1558	"quareshy, m"	-0.4042	0.5603	2	9	13	3	2020.6667
1576	"rappé, ms"	-0.1931	-0.5921	6	18	39	16	2011.9375
1586	"reintjes, g"	0.9703	0.2222	10	5	7	3	2018
1587	"reisch, cr"	0.4348	-0.3025	8	6	19	7	2010.4286
1593	"repeta, dj"	0.099	-0.3206	1	6	8	3	2018.3333
1603	"richter, m"	0.5467	0.2531	4	7	14	3	2017
1622	"rocap, g"	-0.5531	-0.2162	7	1	2	3	2015
1625	"rodriguez-r, lm"	-0.0174	-0.0675	1	5	9	3	2020
1626	"rodriguez-valera, f"	0.842	0.4539	9	17	52	21	2018.8571
1630	"rodríguez-valera, f"	0.9898	0.7504	9	4	4	4	2004.75
1642	"rosselli, r"	0.9001	0.7375	9	7	9	3	2019
1659	"sabehi, g"	0.2883	0.2299	4	4	5	3	2008.3333
1660	"sachdeva, r"	-0.3869	-0.1497	7	6	10	3	2013.6667
1667	"salcher, mm"	0.7268	0.1577	3	2	4	4	2015.5
1690	"scanlan, dj"	0.1915	0.4001	10	28	43	12	2015
1691	"schattenhofer, m"	0.8858	0.2839	10	7	10	3	2012
1693	"scholin, ca"	-0.0978	0.1455	8	10	16	5	2013.4
1696	"schwalbach, ms"	-0.3899	-0.599	11	22	41	9	2009.5556
1706	"sebastián, m"	0.8451	-0.1648	3	11	18	6	2015.5
1720	"seymour, jr"	-0.0874	0.3326	7	3	6	5	2018
1727	"sharma, s"	0.2974	-0.3217	8	10	20	7	2012.2857
1745	"sidhu, c"	1.1394	0.4175	10	6	16	4	2023.75
1754	"silvano, e"	-0.5486	0.5627	2	16	21	3	2022
1758	"simon, m"	-0.52	1.0961	15	11	31	12	2015.0833
1761	"simó, r"	0.6999	-0.0576	3	10	10	3	2006.3333
1764	"sintes, e"	1.2519	-0.3457	3	6	21	9	2018.7778
1765	"sjöstedt, j"	0.5608	-0.0321	4	5	8	3	2015.6667
1769	"smith, dp"	-0.4783	-0.6935	11	19	43	9	2010.8889
1771	"smith, rd"	-0.6662	-0.6211	11	20	53	7	2012.5714
1777	"sommaruga, r"	0.7629	-0.0777	3	5	6	3	2008
1787	"sowell, sm"	-0.6009	-0.8975	11	9	16	3	2009.3333
