genome	Clade1	type	rank	prior_value	Family	Genus	Subclade	Species	validation_reasons	eligible_in_any_tree	gap_category
AG-343-E17	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-365-B19	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-C22	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-M15	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-B15	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-A21	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-F15	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-K17	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-L15	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-I15	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-O05	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-F03	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-C08	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-453-G04	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-461-E04	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-891-O15	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-899-E14	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-903-M21	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-904-F11	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-910-G11	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-911-G13	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-912-D10	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-912-P19	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-913-I06	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-913-I14	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-914-I16	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-914-J05	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-914-N11	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-916-D16	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-916-E17	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-916-G03	II	SAG	Species	NA	Cosmipelagibacteraceae	NA	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-917-E14	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-917-F18	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-917-K20	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-918-M15	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-918-N23	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-919-F21	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-919-I13	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-919-M05	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-920-L07	II	SAG	Species	NA	Cosmipelagibacteraceae	Anoxypelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-287-C13	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-287-E19	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-321-I23	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
MED-G40	II	MAG	Species	NA	Cosmipelagibacteraceae	NA	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
SAG-MED05	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
SAG-MED28	II	SAG	Species	NA	Cosmipelagibacteraceae	Cosmipelagibacter	II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-A09	III	SAG	Species	NA	Fontibacteriaceae	NA	IIIa.2	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-907-B09	III	SAG	Species	NA	Fontibacteriaceae	NA	IIIa.2	NA	NA	NA	no_prior_label_and_no_supported_assignment
CPC289	III	MAG	Species	NA	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	NA	NA	NA	no_prior_label_and_no_supported_assignment
IMCC9063	III	isolate	Species	NA	Fontibacteriaceae	NA	IIIa.3	NA	NA	NA	no_prior_label_and_no_supported_assignment
LSUCC0261	III	isolate	Species	NA	Fontibacteriaceae	NA	IIIa.3	NA	NA	NA	no_prior_label_and_no_supported_assignment
LSUCC0664	III	isolate	Species	NA	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	NA	NA	NA	no_prior_label_and_no_supported_assignment
LSUCC0723	III	isolate	Species	NA	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	NA	NA	NA	no_prior_label_and_no_supported_assignment
MED1116	III	MAG	Species	NA	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	NA	NA	NA	no_prior_label_and_no_supported_assignment
MED602	III	MAG	Species	NA	Fontibacteriaceae	NA	IIIa.2	NA	NA	NA	no_prior_label_and_no_supported_assignment
SP27	III	MAG	Species	NA	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-337-G06	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-B15	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-C21	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-I21	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-D15	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-457-M14	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-461-P14	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-891-J04	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-M06	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-893-M03	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-A11	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-895-F07	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-896-A02	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-899-O02	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-900-K14	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-900-M14	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-901-G03	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-905-D16	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-909-G09	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-911-E02	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-919-N17	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-919-P09	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-920-L11	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-287-F15	IV	SAG	Species	NA	NA	NA	IV	NA	NA	NA	no_prior_label_and_no_supported_assignment
AAA795-D22	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-C18	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-C21	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-G21	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-L02	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-325-L05	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-A04	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-D08	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-K06	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-333-N15	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-359-F04	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-359-P18	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-365-D07	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-365-L04	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-365-O14	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-C19	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-E04	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-G13	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-M07	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-390-O04	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-B04	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-J20	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-O05	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-404-O18	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-410-K05	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-410-L19	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-B08	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-L04	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-414-M23	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-C13	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-N14	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-422-N15	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-C04	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-G09	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-I10	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-K09	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-P08	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-A11	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-B09	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-G11	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-J04	I	SAG	Subclade	NA	Pelagibacteraceae	Amplipelagibacter	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-J21	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-K07	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-B12	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-C18	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-E23	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-G19	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-O15	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-B22	I	SAG	Subclade	Ia.4.N5	Pelagibacteraceae	NA	NA	NA	candidate_expands_seed_crown;support_below_threshold	TRUE	prior_label_failed_SAR11_165_high_support_criteria
AG-447-K09	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-L14	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-N08	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-N21	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-O23	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-453-K22	I	SAG	Subclade	NA	Pelagibacteraceae	Amplipelagibacter	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-464-P13	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-C18	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-K09	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-L05	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-893-P10	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-895-G15	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-896-C18	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-898-P13	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-905-E10	I	SAG	Subclade	Ia.4.II	Pelagibacteraceae	NA	NA	NA	candidate_expands_seed_crown;support_below_threshold	TRUE	prior_label_failed_SAR11_165_high_support_criteria
AG-905-E11	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-905-G04	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-913-C02	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-913-O18	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-914-L04	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-916-J11	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-917-O20	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-919-A21	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-920-I23	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-287-E08	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-321-N11	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-324-K07	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AH-324-K09	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
BACL5_MAG-120820-bin39	I	MAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
BACL5_MAG-121015-bin10	I	MAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
Baikal-G1	I	MAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
SAG-MED01	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
SAG-MED13	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
SAG-MED15	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
SAG-MED47	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
SAG-MED49	I	SAG	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
Uisw_134_02	I	isolate	Subclade	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
