genome	freel_family	freel_genus	freel_species	species_full_name	species_type_genome	species_reference_genome	species_assignment_source	species_tree_node	species_tree_ufboot
HIMB1723	Pelagibacteraceae	Undatipelagibacter	huakaii	Undatipelagibacter huakaii	HIMB1556	HIMB1556	Freel et al. 2025 genome	NA	NA
HIMB1746	Pelagibacteraceae	Undatipelagibacter	huakaii	Undatipelagibacter huakaii	HIMB1556	HIMB1556	Freel et al. 2025 genome	NA	NA
HIMB1748	Pelagibacteraceae	Undatipelagibacter	huakaii	Undatipelagibacter huakaii	HIMB1556	HIMB1556	Freel et al. 2025 genome	NA	NA
HIMB1758	Pelagibacteraceae	Undatipelagibacter	huakaii	Undatipelagibacter huakaii	HIMB1556	HIMB1556	Freel et al. 2025 genome	NA	NA
HIMB1765	Pelagibacteraceae	Undatipelagibacter	huakaii	Undatipelagibacter huakaii	HIMB1556	HIMB1556	Freel et al. 2025 genome	NA	NA
HIMB1770	Pelagibacteraceae	Undatipelagibacter	huakaii	Undatipelagibacter huakaii	HIMB1556	HIMB1556	Freel et al. 2025 genome	NA	NA
HIMB1782	Pelagibacteraceae	Undatipelagibacter	huakaii	Undatipelagibacter huakaii	HIMB1556	HIMB1556	Freel et al. 2025 genome	NA	NA
HIMB2211	Pelagibacteraceae	Undatipelagibacter	huakaii	Undatipelagibacter huakaii	HIMB1556	HIMB1556	Freel et al. 2025 genome	NA	NA
HIMB2305	Pelagibacteraceae	Superipelagibacter	microcenae	Superipelagibacter microcenae	HIMB2305	HIMB2305	Freel et al. 2025 Type Strains	NA	NA
HIMB4	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Litoralipelagibacter koolauensis	HIMB4	HIMB4	Freel et al. 2025 Type Strains	NA	NA
HIMB5	Pelagibacteraceae	Coralipelagibacter	heeiaensis	Coralipelagibacter heeiaensis	HIMB5	HIMB5	Freel et al. 2025 Type Strains	NA	NA
HTCC1002	Pelagibacteraceae	Pelagibacter	ubiqueversans	Pelagibacter ubiqueversans	HTCC1062	HTCC1062	Freel et al. 2025 genome	NA	NA
HTCC1013	Pelagibacteraceae	Pelagibacter	ubiqueversans	Pelagibacter ubiqueversans	HTCC1062	HTCC1062	Freel et al. 2025 genome	NA	NA
HTCC1016	Pelagibacteraceae	Pelagibacter	ubiqueversans	Pelagibacter ubiqueversans	HTCC1062	HTCC1062	Freel et al. 2025 genome	NA	NA
HTCC1040	Pelagibacteraceae	Pelagibacter	ubiqueversans	Pelagibacter ubiqueversans	HTCC1062	HTCC1062	Freel et al. 2025 genome	NA	NA
HTCC1062	Pelagibacteraceae	Pelagibacter	ubiqueversans	Pelagibacter ubiqueversans	HTCC1062	HTCC1062	Freel et al. 2025 Type Strains	NA	NA
HTCC7211	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Atlantikopelagibacter sargassoseensis	HTCC7211	HTCC7211	Freel et al. 2025 Type Strains	NA	NA
HTCC7217	Pelagibacteraceae	Atlantikopelagibacter	sargassoseensis	Atlantikopelagibacter sargassoseensis	HTCC7211	HTCC7211	Freel et al. 2025 genome	NA	NA
HTCC8051	Pelagibacteraceae	Accedentipelagibacter	yaqonii	Accedentipelagibacter yaqonii	HTCC8051	HTCC8051	Freel et al. 2025 Type Strains	NA	NA
HTCC9565	Pelagibacteraceae	Pelagibacter	yakuwasiensis	Pelagibacter yakuwasiensis	HTCC9565	HTCC9565	Freel et al. 2025 Type Strains	NA	NA
LSUCC0530	Fontibacteriaceae	Fontibacterium	commune	Fontibacterium commune	LSUCC0530	LSUCC0530	Freel et al. 2025 Type Strains	NA	NA
NP1	Pelagibacteraceae	Pelagibacter	giovannonii	Pelagibacter giovannonii	NP1	NP1	Freel et al. 2025 Type Strains	NA	NA
SAG-MED08	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
