Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0001263,NA,No Annotation,106,0.585635359116022
OG0001263,COG0037,tRNA-C32 2-thiocytidine or tRNA(Ile)-C34 C2-lysylcytidine synthase TtcA/TilS/MesJ,39,0.2154696132596685
OG0001263,COG1365,"Predicted ATPase, PP-loop superfamily",16,0.08839779005524862
OG0001263,COG0175,Phosphoadenylyl sulfate (PAPS) reductase/FAD synthetase or related enzyme,10,0.055248618784530384
OG0001263,COG0438,"Lipopolysaccharide 1,6-galactosyltransferase, GT1 family",4,0.022099447513812154
OG0001263,COG0171,NH3-dependent NAD+ synthetase,2,0.011049723756906077
OG0001263,COG0107,Imidazole glycerol phosphate synthase subunit HisF,1,0.0055248618784530384
OG0001263,COG0301,Adenylyl- and sulfurtransferase ThiI (thiamine and tRNA 4-thiouridine biosynthesis),1,0.0055248618784530384
OG0001263,COG1082,Sugar phosphate isomerase/epimerase,1,0.0055248618784530384
OG0001263,COG1606,"ATP-utilizing enzyme, PP-loop superfamily",1,0.0055248618784530384
