Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0000162,NA,No Annotation,435,0.8413926499032882
OG0000162,COG0612,"Predicted Zn-dependent peptidase, M16 family",61,0.11798839458413926
OG0000162,COG0306,Phosphate/sulfate permease,5,0.009671179883945842
OG0000162,COG1566,Multidrug resistance efflux pump EmrA,4,0.007736943907156673
OG0000162,COG0744,"Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase",3,0.005802707930367505
OG0000162,COG3206,"Tyrosine-protein kinase Wzc involved in exopolysaccharide export, GumC/Wzc1 domain",3,0.005802707930367505
OG0000162,COG3883,Uncharacterized N-terminal coiled-coil domain of peptidoglycan hydrolase CwlO,2,0.0038684719535783366
OG0000162,COG4961,Flp/Tad pilus assembly protein TadE/TadG (TadG includes C-terminal von Willebrand factor A (vWFA) domain),2,0.0038684719535783366
OG0000162,COG3462,"Uncharacterized protein, contains short C-terminal (SHOCT) domain",1,0.0019342359767891683
OG0000162,COG3469,Chitinase,1,0.0019342359767891683
