Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0000743,COG4235,Cytochrome c-type biogenesis protein CcmH/NrfG,304,0.6359832635983264
OG0000743,COG4783,"Periplasmic chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains",51,0.10669456066945607
OG0000743,COG2956,"Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain",44,0.09205020920502092
OG0000743,COG5010,"Flp/Tad pilus assembly pilotin TadD, contains TPR repeats",33,0.06903765690376569
OG0000743,NA,No Annotation,15,0.03138075313807531
OG0000743,COG4785,"Lipoprotein NlpI, contains TPR repeats",14,0.029288702928870293
OG0000743,COG3914,"Predicted O-linked N-acetylglucosamine transferase, SPINDLY family",12,0.02510460251046025
OG0000743,COG3063,"Type IV pilus assembly pilotin PilF, contains TPR repeats",3,0.006276150627615063
OG0000743,COG0457,Tetratricopeptide (TPR) repeat,1,0.0020920502092050207
OG0000743,COG5616,TolB amino-terminal domain (function unknown),1,0.0020920502092050207
