Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0002726,COG2755,Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK,7,0.7
OG0002726,NA,No Annotation,3,0.3
