Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0000919,NA,No Annotation,219,0.4965986394557823
OG0000919,COG4649,TPR-like repeat domain,114,0.2585034013605442
OG0000919,COG2976,"Ancillary subunit YfgM of SecYEG translocon, regulates RcsB-dependent stress response",67,0.15192743764172337
OG0000919,COG1729,"Cell division protein CpoB, coordinates peptidoglycan biosynthesis and outer membrane constriction",31,0.07029478458049887
OG0000919,COG1221,Transcriptional regulators containing sigma54-interacting ATPase domain,6,0.013605442176870748
OG0000919,COG4235,Cytochrome c-type biogenesis protein CcmH/NrfG,2,0.0045351473922902496
OG0000919,COG2982,Outer membrane assembly factor AsmA,1,0.0022675736961451248
OG0000919,COG3933,"Transcriptional regulator of LevR family, contains sigma54-interacting AAA domain, PTS regulation domain (PRD), and EIIA-type domain",1,0.0022675736961451248
