Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0000814,COG2227,"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase",225,0.4807692307692308
OG0000814,COG4976,"Predicted methyltransferase, contains TPR repeat",105,0.22435897435897437
OG0000814,COG0451,Nucleoside-diphosphate-sugar epimerase,82,0.1752136752136752
OG0000814,NA,No Annotation,47,0.10042735042735043
OG0000814,COG0500,SAM-dependent methyltransferase SmtA (CmoB moved to COG2228),2,0.004273504273504274
OG0000814,COG2226,Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG or 23S rRNA G745 methylase RmlAII or tRNA-U5 methylase TRM9,2,0.004273504273504274
OG0000814,COG0399,"dTDP-4-amino-4,6-dideoxygalactose transaminase",1,0.002136752136752137
OG0000814,COG0524,"Sugar or nucleoside kinase, ribokinase family",1,0.002136752136752137
OG0000814,COG1221,Transcriptional regulators containing sigma54-interacting ATPase domain,1,0.002136752136752137
OG0000814,COG1898,"dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme",1,0.002136752136752137
OG0000814,COG3966,"Poly-D-alanine transfer protein DltD, involved in esterification of teichoic acids",1,0.002136752136752137
