Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0000008,NA,No Annotation,1002,0.872822299651568
OG0000008,COG4123,tRNA1(Val) A37 N6-methylase TrmN6,34,0.029616724738675958
OG0000008,COG2520,tRNA G37 N1-methylase Trm5,31,0.02700348432055749
OG0000008,COG4076,Predicted RNA methylase,24,0.020905923344947737
OG0000008,COG4106,Trans-aconitate methyltransferase,12,0.010452961672473868
OG0000008,COG2227,"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase",10,0.008710801393728223
OG0000008,COG2242,"Precorrin-6Y C5,15-methylase subunit CbiT",7,0.006097560975609756
OG0000008,COG2813,16S rRNA G1207 or 23S rRNA G1835 methylase RsmC/RlmG,7,0.006097560975609756
OG0000008,COG2265,"tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family",4,0.003484320557491289
OG0000008,COG2519,tRNA A57/A58 N1-methylase Trm61,4,0.003484320557491289
OG0000008,COG2226,Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG or 23S rRNA G745 methylase RmlAII or tRNA-U5 methylase TRM9,3,0.002613240418118467
OG0000008,COG3434,"c-di-GMP phosphodiesterase YuxH/PdeH, contains EAL and HDOD domains",2,0.0017421602787456446
OG0000008,COG0030,"rRNA adenine N6-methylase, includes 16S rRNA A1518 and A1519 N6-dimethyltransferase  RsmA/KsgA/DIM  and 23S rRNA A2058 N6-methylase ErmO/TlrD (may also have DNA glycosylase/AP lyase activity)",1,8.710801393728223e-4
OG0000008,COG0532,"Translation initiation factor IF-2, a GTPase",1,8.710801393728223e-4
OG0000008,COG1423,"ATP-dependent RNA circularization protein, DNA/RNA ligase (PAB1020)  family",1,8.710801393728223e-4
OG0000008,COG1469,GTP cyclohydrolase FolE2,1,8.710801393728223e-4
OG0000008,COG4122,tRNA 5-hydroxyU34 O-methylase TrmR/YrrM,1,8.710801393728223e-4
OG0000008,COG4565,DNA-binding response regulator DpiB of citrate/malate metabolism,1,8.710801393728223e-4
OG0000008,COG4753,"Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains",1,8.710801393728223e-4
OG0000008,COG4913,"Uncharacterized conserved protein, contains a C-terminal ATPase domain",1,8.710801393728223e-4
