Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0000925,NA,No Annotation,232,0.5272727272727272
OG0000925,COG1349,"DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family",52,0.11818181818181818
OG0000925,COG2512,"Predicted transcriptional regulator, contains CW (cell wall-binding) repeats and an HTH domain",47,0.10681818181818181
OG0000925,COG3355,Transcriptional regulator of archaellar biosynthesis and archaeal biofilm formation AfbR,41,0.09318181818181819
OG0000925,COG1522,"DNA-binding transcriptional regulator, Lrp family",30,0.06818181818181818
OG0000925,COG1321,"Mn-dependent transcriptional regulator MntR, DtxR family",5,0.011363636363636364
OG0000925,COG1378,Sugar-specific transcriptional regulator TrmB,5,0.011363636363636364
OG0000925,COG4648,Uncharacterized membrane protein,5,0.011363636363636364
OG0000925,COG0664,cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases,4,0.00909090909090909
OG0000925,COG1414,"DNA-binding transcriptional regulator, IclR family",4,0.00909090909090909
OG0000925,COG3177,Fic family protein,4,0.00909090909090909
OG0000925,COG1580,Flagellar basal body-associated protein FliL,3,0.006818181818181818
OG0000925,COG4742,Transcriptional regulator of archaellar expression ArnR,3,0.006818181818181818
OG0000925,COG1221,Transcriptional regulators containing sigma54-interacting ATPase domain,2,0.004545454545454545
OG0000925,COG4189,"Predicted transcriptional regulator, ArsR family",2,0.004545454545454545
OG0000925,COG1846,"DNA-binding transcriptional regulator, MarR family",1,0.0022727272727272726
