Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0001246,COG4235,Cytochrome c-type biogenesis protein CcmH/NrfG,81,0.42857142857142855
OG0001246,COG2956,"Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain",67,0.3544973544973545
OG0001246,NA,No Annotation,13,0.06878306878306878
OG0001246,COG5571,"Secreted esterase EstA, contains T5SS autotransporter beta-barrel domain",11,0.0582010582010582
OG0001246,COG1629,"Outer membrane receptor protein, Fe transport",5,0.026455026455026454
OG0001246,COG4775,Outer membrane protein assembly factor BamA,3,0.015873015873015872
OG0001246,COG5338,Uncharacterized conserved protein,3,0.015873015873015872
OG0001246,COG3188,Outer membrane usher protein FimD/PapC,2,0.010582010582010581
OG0001246,COG4771,Outer membrane receptor for ferrienterochelin and colicins,2,0.010582010582010581
OG0001246,COG4783,"Periplasmic chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains",2,0.010582010582010581
