Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0000664,COG1196,Chromosome segregation ATPase Smc,403,0.8309278350515464
OG0000664,NA,No Annotation,49,0.10103092783505155
OG0000664,COG3096,"Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB",21,0.04329896907216495
OG0000664,COG3883,Uncharacterized N-terminal coiled-coil domain of peptidoglycan hydrolase CwlO,3,0.006185567010309278
OG0000664,COG1754,Uncharacterized C-terminal domain of topoisomerase IA,2,0.004123711340206186
OG0000664,COG3206,"Tyrosine-protein kinase Wzc involved in exopolysaccharide export, GumC/Wzc1 domain",2,0.004123711340206186
OG0000664,COG4913,"Uncharacterized conserved protein, contains a C-terminal ATPase domain",2,0.004123711340206186
OG0000664,COG0488,"ABC cassette proteins with duplicated ATPase domains, Uup/ABCF family",1,0.002061855670103093
OG0000664,COG0542,"ATP-dependent Clp protease, ATP-binding subunit ClpA",1,0.002061855670103093
OG0000664,COG4942,"Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB",1,0.002061855670103093
