Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0000105,NA,No Annotation,467,0.8680297397769516
OG0000105,COG1326,Uncharacterized archaeal Zn-finger protein,42,0.07806691449814127
OG0000105,COG4487,"Uncharacterized conserved protein, contains DUF2130 domain",12,0.022304832713754646
OG0000105,COG1996,"DNA-directed RNA polymerase, subunit RPC12/RpoP, contains C4-type Zn-finger",5,0.00929368029739777
OG0000105,COG3883,Uncharacterized N-terminal coiled-coil domain of peptidoglycan hydrolase CwlO,4,0.007434944237918215
OG0000105,COG1459,Type II secretion system/type IV pilus membrane platform protein GspF/PulF/PilC,2,0.0037174721189591076
OG0000105,COG2995,Intermembrane transporter PqiABC subunit PqiA,2,0.0037174721189591076
OG0000105,COG1033,"Predicted exporter protein, RND superfamily",1,0.0018587360594795538
OG0000105,COG1333,Cytochrome c biogenesis protein ResB,1,0.0018587360594795538
OG0000105,COG2433,"Possible nuclease of RNase H fold, RuvC/YqgF family",1,0.0018587360594795538
OG0000105,COG4942,"Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB",1,0.0018587360594795538
