Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0000898,COG3883,Uncharacterized N-terminal coiled-coil domain of peptidoglycan hydrolase CwlO,182,0.407158836689038
OG0000898,COG1196,Chromosome segregation ATPase Smc,139,0.31096196868008946
OG0000898,COG4942,"Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB",57,0.12751677852348994
OG0000898,NA,No Annotation,38,0.08501118568232663
OG0000898,COG4913,"Uncharacterized conserved protein, contains a C-terminal ATPase domain",23,0.05145413870246085
OG0000898,COG0542,"ATP-dependent Clp protease, ATP-binding subunit ClpA",2,0.0044742729306487695
OG0000898,COG2433,"Possible nuclease of RNase H fold, RuvC/YqgF family",2,0.0044742729306487695
OG0000898,COG0466,"ATP-dependent Lon protease, bacterial type",1,0.0022371364653243847
OG0000898,COG1579,"Predicted nucleic acid-binding protein DR0291, contains C4-type Zn-ribbon domain",1,0.0022371364653243847
OG0000898,COG3206,"Tyrosine-protein kinase Wzc involved in exopolysaccharide export, GumC/Wzc1 domain",1,0.0022371364653243847
OG0000898,COG4026,"Uncharacterized conserved protein, contains TOPRIM domain, potential nuclease",1,0.0022371364653243847
