Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0001403,COG1846,"DNA-binding transcriptional regulator, MarR family",53,0.5
OG0001403,NA,No Annotation,18,0.16981132075471697
OG0001403,COG3398,"Predicted transcriptional regulator, contains two HTH domains",15,0.14150943396226415
OG0001403,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase),7,0.0660377358490566
OG0001403,COG1777,"Predicted transcriptional regulator, ArsR family",6,0.05660377358490566
OG0001403,COG2512,"Predicted transcriptional regulator, contains CW (cell wall-binding) repeats and an HTH domain",3,0.02830188679245283
OG0001403,COG0535,"Radical SAM superfamily maturase, SkfB/NifB/PqqE family",1,0.009433962264150943
OG0001403,COG1497,"Predicted transcriptional regulator MJ0558, contains a CRP-type HTH domain",1,0.009433962264150943
OG0001403,COG1522,"DNA-binding transcriptional regulator, Lrp family",1,0.009433962264150943
OG0001403,COG1733,"DNA-binding transcriptional regulator, HxlR family",1,0.009433962264150943
