Orthogroup,COG_ID,COG_NAME,Specific_COG_Count,Rate
OG0000593,NA,No Annotation,363,0.7408163265306122
OG0000593,COG2913,Outer membrane protein assembly factor BamE,83,0.16938775510204082
OG0000593,COG5912,"Spore cortex protein CoxA (YrbB), YhcN/YlaJ family",11,0.022448979591836733
OG0000593,COG5510,Entericidin EcnA/EcnB,7,0.014285714285714285
OG0000593,COG4105,"Outer membrane protein assembly factor BamD, BamD/ComL family",6,0.012244897959183673
OG0000593,COG3017,"Outer membrane lipoprotein LolB, involved in outer membrane biogenesis",5,0.01020408163265306
OG0000593,COG4380,"Uncharacterized conserved protein, DUF799 domain",5,0.01020408163265306
OG0000593,COG1333,Cytochrome c biogenesis protein ResB,4,0.00816326530612245
OG0000593,COG4851,Uncharacterized conserved protein involved in sex pheromone biosynthesis,4,0.00816326530612245
OG0000593,COG3417,"Outer membrane lipoprotein LpoB, binds and activates PBP1b",1,0.0020408163265306124
OG0000593,COG5904,Spore germination receptor GerD,1,0.0020408163265306124
