OG_ID	ko_best	ko_best_definition	ko_support	n_genes	ko_rate
OG0001528	K05878	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	72	74	0.972972972972973
OG0001529	K02639	ferredoxin	15	74	0.20270270270270271
OG0001530	K12453	CDP-paratose synthetase [EC:1.1.1.342]	2	73	0.0273972602739726
OG0001531	K14340	mannosyltransferase [EC:2.4.1.-]	3	73	0.0410958904109589
OG0001532	K17285	methanethiol oxidase [EC:1.8.3.4]	73	73	1
OG0001533	K00441	coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	49	73	0.6712328767123288
OG0001537	K09386	uncharacterized protein	72	72	1
OG0001540	K06941	23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]	72	72	1
OG0001542	K16699	teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-]	1	72	0.013888888888888888
OG0001544	K05879	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	50	71	0.704225352112676
OG0001545	K03699	magnesium and cobalt exporter, CNNM family	37	71	0.5211267605633803
OG0001545	K06189	hemolysin (HlyC) family protein	33	71	0.4647887323943662
OG0001549	K02638	plastocyanin	8	70	0.11428571428571428
OG0001552	K03208	putative colanic acid biosynthesis glycosyltransferase WcaI	11	69	0.15942028985507245
OG0001552	K05946	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]	2	69	0.028985507246376812
OG0001555	K22310	L-ornithine Nalpha-acyltransferase [EC:2.3.2.30]	67	69	0.9710144927536232
OG0001559	K05350	beta-glucosidase [EC:3.2.1.21]	41	68	0.6029411764705882
OG0001561	K01710	dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	7	67	0.1044776119402985
OG0001562	K01009	L-glutamine-phosphate cytidylyltransferase [EC:2.7.7.103]	19	67	0.2835820895522388
OG0001563	K06137	pyrroloquinoline-quinone synthase [EC:1.3.3.11]	66	67	0.9850746268656716
OG0001564	K07167	putative transcriptional regulator	2	67	0.029850746268656716
OG0001572	K09667	protein O-GlcNAc transferase [EC:2.4.1.255]	17	66	0.25757575757575757
OG0001575	K03379	cyclohexanone monooxygenase [EC:1.14.13.22]	14	65	0.2153846153846154
OG0001575	K07222	putative flavoprotein involved in K+ transport	4	65	0.06153846153846154
OG0001575	K10215	monooxygenase [EC:1.14.13.-]	20	65	0.3076923076923077
OG0001579	K17724	aconitate decarboxylase [EC:4.1.1.6]	61	65	0.9384615384615385
OG0001580	K05898	3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]	1	65	0.015384615384615385
