Orthogroup,ko_id,ko_description,Specific_KO_Count,Rate
OG0001150,K03639,"GTP 3',8-cyclase [EC:4.1.99.22]",209,0.8228346456692913
OG0001150,NA,No Annotation,45,0.17716535433070865
