Orthogroup,ko_id,ko_description,Specific_KO_Count,Rate
OG0000558,K01933,phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1],484,0.9817444219066938
OG0000558,NA,No Annotation,9,0.018255578093306288
