Orthogroup,ko_id,ko_description,Specific_KO_Count,Rate
OG0001601,K00831,phosphoserine aminotransferase [EC:2.6.1.52],58,0.9830508474576272
OG0001601,NA,No Annotation,1,0.01694915254237288
