Orthogroup,ko_id,ko_description,Specific_KO_Count,Rate
OG0000997,K02039,phosphate transport system protein,404,0.9853658536585366
OG0000997,NA,No Annotation,5,0.012195121951219513
OG0000997,K02036,phosphate transport system ATP-binding protein [EC:7.3.2.1],1,0.0024390243902439024
