Orthogroup,ko_id,ko_description,Specific_KO_Count,Rate
OG0001110,NA,No Annotation,290,0.9897610921501706
OG0001110,K01951,GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2],3,0.010238907849829351
