PC1,PC2,PC3,Label
-10.076231288817468,-5.267433629604411,-2.3816631475402654,OG1
-9.030845363346735,-11.728013234380928,-2.0713924735578573,OG2
5.4420422181149295,0.15653881426360466,0.8463486391899655,OG3
15.64373468027897,-0.5483459350642275,-0.18927551899185424,OG4
-15.764290492041425,1.0557026319333067,-2.7176502111383334,OG5
-12.813025988915513,-7.356044014130743,-1.6261313097871368,OG6
3.118360056715322,-6.461029775556307,11.169010163159562,OG7
-7.460535840176101,-2.9273271815531308,2.8223808924644094,OG8
-1.8484959574276834,-0.10520926731948499,-3.999011553608399,OG9
10.817747814294588,2.6593263626376107,-1.2367474136366057,OG10
8.340635885126087,1.852744528849993,2.8850084077044813,OG11
-5.763621923791261,-11.852150570102284,4.9664560261628,OG12
5.998913440501959,-0.9229530520083945,0.4652206040116056,OG13
2.5493314962825213,-11.390854603991079,-3.7487132365150933,OG14
-11.47153618825459,-3.1519284151755125,9.726237465763075,OG15
-5.939033682706732,-3.998328263277002,0.9137206497131385,OG16
4.933216539238756,-4.509927925929764,-6.2641998363681655,OG17
-5.423833892738639,-5.467464814665377,-3.0824634003862954,OG18
-12.42594562475648,-9.476893498685012,7.165264754715675,OG19
-5.221002875975028,-1.3990863323356784,1.2144444993368793,OG20
14.536161274990725,-0.7273362214664609,-3.0642805941590887,OG21
-10.183668024101236,-8.566156949096872,-5.121975733414164,OG22
-6.3432929710699195,3.183466272938613,-6.093357918020505,OG23
-8.163103670759781,2.0261721157421713,0.8962962872524364,OG24
1.0190598263952393,-11.671725722308715,1.7117333849415097,OG25
9.277826841389897,-4.913652771838472,11.405843966384126,OG26
-6.528777971434203,-10.951004301658601,-4.892839141952662,OG27
-4.0636618412153425,-1.9936220424333093,-1.7555332127598529,OG28
9.08518391670405,-14.70807666115696,-9.092724724354486,OG29
-10.131604387856134,-0.648005253409138,6.482017732542041,OG30
6.858872165603567,-0.5317837133603617,0.6360788007617313,OG31
-10.642043475230736,-3.1794830697373646,-0.9577363025217929,OG32
6.594054582230265,-9.945354092578173,0.3294380954182384,OG33
-1.9311593410042596,-3.199697360175865,4.643530523614484,OG34
-15.984007660706288,-2.443929426362127,-1.9714421434386264,OG35
9.974483191553752,-5.692333352001227,10.793172565687017,OG36
-2.3153327235150423,-8.636353146940001,-3.2671765392747436,OG37
-12.533423707209405,-1.8899631239346624,-3.459456887487908,OG38
0.11901141362620216,-5.178908071056053,-0.6042039741629018,OG39
-13.385244167218897,-6.719122183577269,2.0028919337393893,OG40
1.6588775100901183,-2.0442921410811175,1.5132788923863791,OG41
12.547156825031863,-10.145254305577849,6.749454918571445,OG42
-9.137614752269204,3.8778784716702104,-10.821544504773485,OG43
-6.70446618905483,-3.6891948434686714,0.4674694281837808,OG44
-11.219710794668334,-10.250082235052446,-7.306804906429882,OG45
0.6329457715458523,-10.28768101026795,3.088641870115381,OG46
-6.777039356506224,-10.35114805160557,1.0400768468545274,OG47
0.2637244532833991,-5.727256752225356,13.214747786952003,OG48
-16.03194781366296,-1.4260629027833005,1.5141725789197396,OG49
-6.4319621932657345,-4.631600001508578,5.100768542686403,OG50
4.421746493438254,5.153188306026657,-3.6845971222209823,OG51
-4.29625708952924,1.5120406906485746,-3.318138149035834,OG52
2.0486310673966095,-10.713926153823026,-1.6365084764397053,OG53
0.5593413175496341,-7.044594315041862,0.5731368923584875,OG54
6.770949310219758,0.7989180103798379,3.7143238293318745,OG55
-8.29449979573484,0.4711407408195034,-3.3552590652497845,OG56
3.1071662739475583,-3.991794001070443,16.87512374558922,OG57
-0.9156199395976803,-2.562115672920089,-3.0020231317512076,OG58
-17.24151959853669,-4.094732364325522,5.695905301656105,OG59
9.240814263418983,-0.0216109484574325,5.691765624604737,OG60
18.327191006749985,-5.452023506528133,4.184070078263077,OG61
-11.018080813078978,4.827152815081845,-4.339609836236883,OG62
7.671256366579879,-3.6919672015846863,-7.831464016264313,OG63
9.438790221804865,-0.5729400674583194,5.945202965938186,OG64
-0.12076812773260198,5.483259720533025,-4.406663870718852,OG65
-8.156328766856692,-0.061008111313185315,0.9944683392512706,OG66
8.123887824221322,-6.811932314908313,-1.5214415239733323,OG67
-5.80903426505277,0.9306780734676712,-5.723046267805383,OG68
-0.28600228832326513,-9.220765841702287,8.675745839471489,OG69
0.4769620231257945,-0.5530794404077715,4.837735988907781,OG70
-8.262984483491792,-0.5051005323835204,-2.4565992167227417,OG71
9.584485150860361,-6.8104738195394905,-0.002445458770613196,OG72
-0.8683963748073468,-9.226828016447701,-3.4265178417452655,OG73
-4.537096924078735,-4.333960141603871,0.7362873445293474,OG74
-12.081931285839454,-1.4050549590459085,4.091106248269142,OG75
3.661257298719554,-3.092610028477452,-3.656323765252738,OG76
8.835521732803812,-0.14527952198074212,5.968522313433191,OG77
-14.056590328900766,-8.319254377048523,0.7318444573551719,OG78
-5.358728517581561,-4.514504444857469,4.7225768420983085,OG79
8.43915912658582,-6.596814962844292,0.7200861539604458,OG80
-7.568960007146744,1.0073809776205638,-5.4595625479510375,OG81
15.67516648023955,-3.825296189654626,-2.714257306514988,OG82
-6.890270366282135,0.5528924664113273,0.36282512546418877,OG83
-9.520435431455432,-0.9498963714449776,2.06721354132696,OG84
11.986855838189811,1.2879672140391094,-4.375954291008744,OG85
-5.658189609011616,-12.258588181197903,-8.136094990030681,OG86
6.425351835496216,-10.546835898576482,-0.6710549410539457,OG87
0.23524733458002078,0.27217829650093966,-5.262775569843329,OG88
-0.05904135810545763,-6.084707324012262,4.0140743497543925,OG89
-6.201659898608348,-3.511102473267008,1.3442287859764082,OG90
-4.268430905142107,4.072367943911018,-7.4455915329563656,OG91
-4.4279539776932015,-4.226817209722979,13.934822980205261,OG92
0.5349092808255599,0.5144807477864279,-3.688664289707212,OG93
9.110103463278808,-3.7471902000227963,-6.321185643170415,OG94
-5.252457857980591,-12.118077879855887,-3.268247407109698,OG95
0.8168650869076202,-1.6340007090550568,13.966149250205618,OG96
-13.502313182778302,-4.195353076407454,-4.166742321546846,OG97
